Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,62,1,"one must, 0.1876, 1, 3 ; united states, 0.0829, 1, 1 ; says peter juel, 0.0735, 1, 1 ; make sense, 0.0722, 1, 1 ; bornholm soil, 0.0716, 1, 1",1.0,1.0,one must ; united states ; says peter juel ; make sense ; bornholm soil
reg,63,7,"10 million, 0.0272, 2, 4 ; 20 billion, 0.0203, 1, 4 ; social democratic, 0.0196, 1, 3 ; two energy, 0.0191, 1, 4 ; danish people, 0.0181, 2, 7",0.2,1.0,10 million ; 20 billion ; social democratic ; two energy ; danish people
reg,64,1,"hydrogen production, 0.2229, 1, 6 ; electricity grid, 0.0563, 1, 2 ; gw offshore, 0.0442, 1, 1 ; islands bornholm project, 0.0434, 0, 0 ; production bornholm, 0.0418, 1, 1",0.8667,1.0,hydrogen production ; electricity grid ; gw offshore ; islands bornholm project ; production bornholm
reg,65,2,"campus bornholm, 0.1346, 1, 6 ; tv2 bornholm, 0.0730, 1, 6 ; bornholm new, 0.0567, 1, 1 ; look forward, 0.0524, 2, 3 ; 30 years, 0.0465, 1, 4",0.5667,1.0,campus bornholm ; tv2 bornholm ; bornholm new ; look forward ; 30 years
reg,66,11,"plan strategy, 0.0253, 2, 30 ; danish business, 0.0206, 2, 3 ; søren schow, 0.0165, 2, 28 ; regional municipality, 0.0158, 7, 11 ; co financing, 0.0144, 0, 0",0.2303,1.0,plan strategy ; danish business ; søren schow ; regional municipality ; co financing
reg,67,13,"10 million, 0.0255, 4, 15 ; baltic energy, 0.0197, 8, 24 ; baltic energy island, 0.0175, 8, 22 ; danish business promotion, 0.0134, 5, 11 ; promotion board, 0.0128, 4, 11",0.4615,1.0,10 million ; baltic energy ; baltic energy island ; danish business promotion ; promotion board
reg,68,4,"green business, 0.0791, 3, 14 ; new local, 0.0664, 1, 1 ; island new, 0.0627, 0, 0 ; large scale, 0.0508, 0, 0 ; green business park, 0.0500, 3, 10",0.3667,1.0,green business ; new local ; island new ; large scale ; green business park
reg,69,5,"food school, 0.0838, 4, 29 ; søren schow, 0.0601, 5, 33 ; business park, 0.0494, 5, 34 ; heidi burgedahl, 0.0306, 5, 15 ; søren schow heidi, 0.0260, 5, 10",0.9333,1.0,food school ; søren schow ; business park ; heidi burgedahl ; søren schow heidi
reg,70,1,"morten riis, 0.2083, 1, 10 ; says morten riis, 0.1654, 1, 6 ; says morten, 0.1579, 1, 6 ; morten riis el, 0.0460, 0, 0 ; riis el, 0.0460, 0, 0",0.8,1.0,morten riis ; says morten riis ; says morten ; morten riis el ; riis el
reg,71,38,"gas station, 0.0097, 3, 5 ; islands bornholm, 0.0093, 26, 125 ; energy islands bornholm, 0.0091, 26, 125 ; energy islands, 0.0083, 32, 171 ; energy island, 0.0078, 36, 340",0.5211,1.0,gas station ; islands bornholm ; energy islands bornholm ; energy islands ; energy island
reg,72,9,"20 billion, 0.0243, 3, 14 ; energy islands bornholm, 0.0205, 8, 55 ; islands bornholm, 0.0205, 8, 55 ; 15 20, 0.0205, 3, 8 ; billion kroner, 0.0187, 7, 16",0.6222,1.0,20 billion ; energy islands bornholm ; islands bornholm ; 15 20 ; billion kroner
reg,73,32,"offshore wind, 0.0450, 32, 260 ; bornholm offshore wind, 0.0243, 6, 7 ; bornholm offshore, 0.0233, 6, 7 ; offshore wind farm, 0.0131, 26, 93 ; wind farm, 0.0128, 26, 97",0.5833,1.0,offshore wind ; bornholm offshore wind ; bornholm offshore ; offshore wind farm ; wind farm
reg,74,3,"froberg dahl, 0.1134, 2, 16 ; anne thomas, 0.0696, 2, 15 ; rené danielsson, 0.0482, 1, 11 ; social democracy, 0.0480, 3, 15 ; top candidate, 0.0476, 3, 11",0.6667,1.0,froberg dahl ; anne thomas ; rené danielsson ; social democracy ; top candidate
sci,0,11,"energy island, 0.1201, 10, 21 ; north sea, 0.0864, 3, 8 ; 2011 ieee, 0.0588, 1, 1 ; barrier islands, 0.0432, 1, 7 ; co2 emission, 0.0362, 1, 2",0.4121,1.0,energy island ; north sea ; 2011 ieee ; barrier islands ; co2 emission
sci,1,21,"wave energy, 0.0790, 4, 11 ; energy energy, 0.0358, 0, 0 ; renewable energy, 0.0329, 14, 28 ; energy conversion, 0.0226, 2, 2 ; wind energy conversion, 0.0194, 1, 1",0.2127,1.0,wave energy ; energy energy ; renewable energy ; energy conversion ; wind energy conversion
sci,2,3,"hainan island, 0.2681, 1, 5 ; integrated development, 0.0672, 1, 4 ; hainan province, 0.0672, 1, 8 ; energy carbon emissions, 0.0627, 1, 7 ; energy carbon, 0.0587, 1, 7",0.3333,1.0,hainan island ; integrated development ; hainan province ; energy carbon emissions ; energy carbon
sci,3,6,"frequency voltage, 0.0480, 4, 7 ; new energy, 0.0372, 4, 4 ; low inertia, 0.0363, 3, 3 ; control loop, 0.0337, 2, 5 ; grid frequency, 0.0318, 2, 3",0.5667,1.0,frequency voltage ; new energy ; low inertia ; control loop ; grid frequency
sci,4,17,"energy hubs, 0.0474, 8, 23 ; offshore energy, 0.0441, 9, 27 ; offshore energy hubs, 0.0377, 6, 18 ; energy production, 0.0289, 1, 1 ; power plants, 0.0253, 1, 1",0.3804,1.0,energy hubs ; offshore energy ; offshore energy hubs ; energy production ; power plants
sci,5,12,"smart grid, 0.0536, 2, 2 ; real time, 0.0408, 0, 0 ; energy islands, 0.0380, 7, 10 ; power systems, 0.0353, 5, 7 ; renewable sources, 0.0326, 2, 3",0.2389,1.0,smart grid ; real time ; energy islands ; power systems ; renewable sources
sci,6,3,"heat recovery, 0.0851, 2, 5 ; operational flexibility, 0.0813, 3, 5 ; danish energy island, 0.0476, 3, 3 ; danish energy, 0.0476, 3, 3 ; integer linear programming, 0.0422, 3, 3",0.8889,1.0,heat recovery ; operational flexibility ; danish energy island ; danish energy ; integer linear programming
