Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,14,14,10.054475,2.1195958,"high voltage station, 0.0300, 8, 15 ; voltage station, 0.0300, 9, 28 ; high voltage, 0.0287, 10, 18 ; land plant, 0.0274, 13, 44 ; local plan, 0.0249, 8, 31",0.6222,1.0,high voltage station ; voltage station ; high voltage ; land plant ; local plan
reg,15,24,10.364524,0.120921135,"wind turbines, 0.0193, 15, 27 ; local plan, 0.0175, 1, 1 ; energy island, 0.0155, 25, 81 ; baltic sea, 0.0132, 9, 16 ; get started, 0.0131, 4, 5",0.4693,1.0,wind turbines ; local plan ; energy island ; baltic sea ; get started
reg,16,20,11.838103,1.4939427,"election campaign, 0.0355, 5, 23 ; people meeting, 0.0323, 0, 0 ; social democracy, 0.0168, 9, 14 ; looking forward, 0.0145, 5, 6 ; lea wermelin, 0.0144, 5, 14",0.2127,1.0,election campaign ; people meeting ; social democracy ; looking forward ; lea wermelin
reg,17,24,9.164229,-0.09336584,"electrolysis plant, 0.0125, 12, 24 ; magnus brogaard, 0.0080, 5, 25 ; klaus vesløv, 0.0080, 2, 16 ; hydrogen infrastructure, 0.0075, 9, 16 ; hanne storm edlefsen, 0.0069, 3, 16",0.2162,1.0,electrolysis plant ; magnus brogaard ; klaus vesløv ; hydrogen infrastructure ; hanne storm edlefsen
reg,18,28,10.065976,-0.1664333,"transformer station, 0.0195, 13, 39 ; nuclear power, 0.0081, 2, 13 ; plan energy, 0.0074, 4, 9 ; development strategy, 0.0064, 2, 11 ; citizens association, 0.0059, 0, 0",0.1914,0.0,transformer station ; nuclear power ; plan energy ; development strategy ; citizens association
reg,19,31,11.3235235,-0.32338583,"press release, 0.0140, 12, 18 ; green business, 0.0137, 6, 22 ; business development, 0.0132, 10, 11 ; baltic energy island, 0.0125, 10, 19 ; baltic energy, 0.0124, 10, 19",0.3097,1.0,press release ; green business ; business development ; baltic energy island ; baltic energy
reg,20,23,11.331014,0.32584226,"business park, 0.0179, 7, 17 ; municipal council, 0.0177, 8, 22 ; climate plan, 0.0150, 1, 14 ; bornholm future, 0.0139, 1, 1 ; cultural identity, 0.0134, 1, 4",0.2028,1.0,business park ; municipal council ; climate plan ; bornholm future ; cultural identity
reg,21,42,10.087564,1.2930533,"citizens association, 0.0105, 0, 0 ; transformer station, 0.0104, 15, 39 ; fridrik adamsson, 0.0091, 6, 21 ; south bornholm, 0.0083, 9, 14 ; land facility, 0.0076, 19, 33",0.1783,0.0,citizens association ; transformer station ; fridrik adamsson ; south bornholm ; land facility
reg,22,25,10.362584,0.12837674,"electricity grid, 0.0298, 22, 86 ; bornholm electricity, 0.0246, 17, 49 ; el net, 0.0206, 1, 1 ; bornholm electricity grid, 0.0148, 13, 32 ; electricity network, 0.0109, 12, 21",0.4424,1.0,electricity grid ; bornholm electricity ; el net ; bornholm electricity grid ; electricity network
reg,23,26,11.700944,1.2987156,"social democracy, 0.0544, 18, 144 ; municipal council, 0.0418, 22, 97 ; anne thomas, 0.0314, 5, 59 ; unity list, 0.0162, 8, 56 ; morten riis, 0.0155, 6, 20",0.5513,1.0,social democracy ; municipal council ; anne thomas ; unity list ; morten riis
reg,24,20,10.33386,2.293112,"søgaard mikkelsen, 0.0243, 7, 18 ; kim søgaard mikkelsen, 0.0243, 7, 18 ; kim søgaard, 0.0243, 7, 18 ; architectural competition, 0.0242, 7, 19 ; land facility, 0.0226, 12, 24",0.3667,1.0,søgaard mikkelsen ; kim søgaard mikkelsen ; kim søgaard ; architectural competition ; land facility
reg,25,2,11.313334,-0.49046126,"kriegers flak, 0.4104, 1, 6 ; el net, 0.0878, 0, 0 ; jonna nielsen, 0.0529, 1, 7 ; linda kofoed, 0.0361, 1, 5 ; kofoed persson, 0.0361, 1, 5",0.3667,1.0,kriegers flak ; el net ; jonna nielsen ; linda kofoed ; kofoed persson
reg,26,29,10.056504,1.7462763,"land plant, 0.0186, 15, 45 ; land facility, 0.0167, 17, 34 ; young people, 0.0092, 3, 11 ; construction work, 0.0090, 7, 10 ; municipal council, 0.0088, 11, 46",0.4069,1.0,land plant ; land facility ; young people ; construction work ; municipal council
reg,27,19,11.865578,0.6249781,"consultation response, 0.0172, 2, 2 ; part energy, 0.0167, 1, 1 ; young people, 0.0131, 2, 14 ; bornholm companies, 0.0106, 5, 8 ; municipal council, 0.0100, 5, 12",0.1228,0.0,consultation response ; part energy ; young people ; bornholm companies ; municipal council
reg,28,7,10.782358,2.0215657,"bornholm museum, 0.1644, 7, 34 ; finn ole, 0.0632, 1, 25 ; ole sonne, 0.0433, 1, 19 ; feasibility studies, 0.0297, 3, 6 ; says jacob, 0.0294, 3, 6",0.4857,1.0,bornholm museum ; finn ole ; ole sonne ; feasibility studies ; says jacob
reg,29,25,9.547111,1.1142188,"land plant, 0.0244, 14, 39 ; green transition, 0.0134, 8, 19 ; energy islands bornholm, 0.0109, 14, 42 ; islands bornholm, 0.0108, 14, 42 ; electricity prices, 0.0096, 1, 6",0.4613,1.0,land plant ; green transition ; energy islands bornholm ; islands bornholm ; electricity prices
reg,30,8,11.143743,-0.19979776,"energy conversion, 0.0689, 1, 1 ; danish energy agency, 0.0473, 6, 19 ; energy agency, 0.0469, 6, 19 ; danish energy, 0.0444, 6, 19 ; wind energy, 0.0350, 1, 1",0.4444,1.0,energy conversion ; danish energy agency ; energy agency ; danish energy ; wind energy
reg,31,12,9.78157,0.79633355,"united states, 0.0528, 4, 12 ; baltic sea, 0.0467, 7, 45 ; security policy, 0.0432, 5, 17 ; critical infrastructure, 0.0297, 4, 8 ; juel jensen, 0.0292, 0, 0",0.3944,1.0,united states ; baltic sea ; security policy ; critical infrastructure ; juel jensen
reg,32,36,10.371954,1.4546462,"energy parks, 0.0093, 5, 18 ; regional municipality, 0.0084, 20, 51 ; energy islands bornholm, 0.0067, 25, 89 ; islands bornholm, 0.0067, 25, 89 ; jacob trøst, 0.0064, 14, 32",0.4396,1.0,energy parks ; regional municipality ; energy islands bornholm ; islands bornholm ; jacob trøst
reg,33,38,10.259526,-0.42414296,"rønne harbor, 0.0154, 10, 24 ; baltic sea, 0.0109, 23, 50 ; land facilities, 0.0092, 3, 4 ; energy islands bornholm, 0.0088, 20, 65 ; islands bornholm, 0.0087, 20, 65",0.3607,1.0,rønne harbor ; baltic sea ; land facilities ; energy islands bornholm ; islands bornholm
reg,34,30,9.29483,0.7975062,"bornholm offshore wind, 0.0305, 1, 1 ; bornholm offshore, 0.0303, 1, 1 ; offshore wind, 0.0162, 28, 240 ; jacob trøst, 0.0090, 12, 39 ; danish energy agency, 0.0085, 14, 50",0.2817,1.0,bornholm offshore wind ; bornholm offshore ; offshore wind ; jacob trøst ; danish energy agency
reg,35,9,12.062333,1.3933713,"dkk million, 0.0431, 0, 0 ; next year, 0.0347, 4, 15 ; ministry interior, 0.0315, 4, 8 ; 000 kroner, 0.0313, 2, 14 ; savings catalog, 0.0286, 3, 16",0.2593,1.0,dkk million ; next year ; ministry interior ; 000 kroner ; savings catalog
reg,36,33,8.825547,0.85339,"energy islands bornholm, 0.0253, 29, 163 ; islands bornholm, 0.0253, 29, 163 ; 10 million, 0.0157, 5, 17 ; energy islands, 0.0146, 32, 207 ; think tank, 0.0109, 13, 18",0.6537,1.0,energy islands bornholm ; islands bornholm ; 10 million ; energy islands ; think tank
reg,37,29,11.7425,1.7895575,"social democracy, 0.0284, 17, 96 ; business park, 0.0238, 16, 78 ; søren schow, 0.0201, 10, 59 ; municipal council, 0.0200, 20, 93 ; food school, 0.0184, 7, 32",0.5195,1.0,social democracy ; business park ; søren schow ; municipal council ; food school
reg,52,1,-1.6233664,0.8652185,"energy island, 0.0798, 10, 13 ; energy sources, 0.0488, 5, 7 ; simulation results, 0.0380, 2, 2 ; energy storage, 0.0377, 4, 6 ; renewable energy sources, 0.0335, 4, 5",0.4513,1.0,energy island ; energy sources ; simulation results ; energy storage ; renewable energy sources
reg,56,1,0.31995416,-0.15168105,"offshore grid, 0.0908, 6, 16 ; wave energy, 0.0872, 3, 6 ; really good, 0.0580, 1, 1 ; north sea, 0.0546, 7, 13 ; even though, 0.0411, 1, 1",0.2353,1.0,offshore grid ; wave energy ; really good ; north sea ; even though
sci,0,2,0.28942147,0.99697006,"north sea, 0.0263, 23, 110 ; artificial island, 0.0204, 14, 33 ; wind turbines, 0.0179, 24, 72 ; 10 gw, 0.0168, 12, 28 ; offshore wind, 0.0164, 25, 159",0.6713,1.0,north sea ; artificial island ; wind turbines ; 10 gw ; offshore wind
