Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,10,11,"national center, 0.0233, 5, 32 ; green energy, 0.0185, 9, 38 ; national center green, 0.0170, 5, 23 ; 27 million, 0.0162, 2, 10 ; bornholm agriculture, 0.0156, 2, 8",0.497,1.0,national center ; green energy ; national center green ; 27 million ; bornholm agriculture
reg,11,12,"high voltage, 0.0346, 10, 18 ; high voltage station, 0.0297, 8, 15 ; voltage station, 0.0297, 8, 27 ; local plan, 0.0238, 8, 31 ; land plant, 0.0229, 11, 41",0.7389,1.0,high voltage ; high voltage station ; voltage station ; local plan ; land plant
reg,12,1,"bornholm agriculture, 0.3051, 1, 1 ; part energy, 0.2412, 1, 1 ; consultation response, 0.2265, 1, 1 ; land plant, 0.1418, 1, 1 ; energy island, 0.0606, 1, 1",1.0,1.0,bornholm agriculture ; part energy ; consultation response ; land plant ; energy island
reg,13,16,"wind turbines, 0.0193, 11, 17 ; green energy, 0.0139, 8, 12 ; new jobs, 0.0132, 2, 3 ; rest country, 0.0130, 2, 2 ; get started, 0.0130, 2, 3",0.4125,1.0,wind turbines ; green energy ; new jobs ; rest country ; get started
reg,14,18,"election campaign, 0.0399, 6, 24 ; cultural identity, 0.0147, 1, 4 ; looking forward, 0.0142, 5, 6 ; lea wermelin, 0.0130, 5, 14 ; social democracy, 0.0121, 7, 12",0.2444,1.0,election campaign ; cultural identity ; looking forward ; lea wermelin ; social democracy
reg,15,25,"offshore wind, 0.0236, 24, 164 ; electrolysis plant, 0.0144, 10, 20 ; magnus brogaard, 0.0102, 5, 25 ; wind farms, 0.0090, 16, 50 ; offshore wind farms, 0.0090, 16, 44",0.5947,1.0,offshore wind ; electrolysis plant ; magnus brogaard ; wind farms ; offshore wind farms
reg,16,9,"rønne harbor, 0.0421, 7, 29 ; center bornholm, 0.0239, 6, 23 ; nexø harbor, 0.0238, 3, 16 ; christa lodahl, 0.0233, 1, 11 ; offshore wind, 0.0231, 8, 52",0.5778,1.0,rønne harbor ; center bornholm ; nexø harbor ; christa lodahl ; offshore wind
reg,17,13,"peter juel, 0.0147, 3, 26 ; peter juel jensen, 0.0142, 1, 1 ; juel jensen, 0.0141, 1, 1 ; thomas thors, 0.0128, 3, 15 ; westh jensen, 0.0114, 2, 18",0.1538,0.0,peter juel ; peter juel jensen ; juel jensen ; thomas thors ; westh jensen
reg,18,20,"transformer station, 0.0111, 8, 20 ; power system, 0.0095, 0, 0 ; green fuels, 0.0089, 5, 15 ; development strategy, 0.0078, 2, 11 ; gas station, 0.0072, 3, 8",0.2067,1.0,transformer station ; power system ; green fuels ; development strategy ; gas station
reg,19,1,"solar cells, 0.3912, 1, 1 ; transformer station, 0.2923, 1, 1 ; wind turbines, 0.1781, 1, 1 ; energy island, 0.1103, 1, 1",1.0,1.0,solar cells ; transformer station ; wind turbines ; energy island
reg,20,25,"green business, 0.0134, 6, 22 ; center bornholm, 0.0117, 7, 12 ; bornholm business, 0.0107, 6, 8 ; baltic energy island, 0.0103, 9, 18 ; baltic energy, 0.0102, 9, 18",0.2747,1.0,green business ; center bornholm ; bornholm business ; baltic energy island ; baltic energy
reg,21,27,"business park, 0.0093, 12, 55 ; fridrik adamsson, 0.0092, 5, 15 ; frederik tolstrup, 0.0089, 1, 8 ; green business park, 0.0081, 7, 31 ; transformer station, 0.0080, 11, 31",0.2667,1.0,business park ; fridrik adamsson ; frederik tolstrup ; green business park ; transformer station
reg,22,22,"electricity grid, 0.0293, 16, 69 ; bornholm electricity, 0.0268, 14, 45 ; net east, 0.0167, 8, 18 ; bornholm electricity grid, 0.0162, 11, 30 ; price zone, 0.0149, 3, 28",0.5606,1.0,electricity grid ; bornholm electricity ; net east ; bornholm electricity grid ; price zone
reg,23,9,"municipal council, 0.0459, 7, 48 ; social democracy, 0.0454, 6, 35 ; regional municipality, 0.0239, 8, 13 ; danish business, 0.0226, 1, 2 ; bornholm regional municipality, 0.0188, 4, 5",0.6593,1.0,municipal council ; social democracy ; regional municipality ; danish business ; bornholm regional municipality
reg,24,18,"social democracy, 0.0397, 13, 111 ; anne thomas, 0.0252, 3, 39 ; unity list, 0.0195, 8, 56 ; morten riis, 0.0156, 6, 20 ; municipal council, 0.0155, 15, 53",0.4741,1.0,social democracy ; anne thomas ; unity list ; morten riis ; municipal council
