cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
28,1,17,2,"electricity prices, 0.0416, 7, 10 ; electricity grid, 0.0354, 14, 76 ; bornholm electricity, 0.0321, 12, 48 ; bornholm electricity grid, 0.0238, 12, 35 ; el net, 0.0213, 2, 2",0.51,1.0,electricity prices ; electricity grid ; bornholm electricity ; bornholm electricity grid ; el net
29,0,14,0,"local plan, 0.0257, 6, 14 ; land plant, 0.0242, 9, 23 ; frederik tolstrup, 0.0193, 1, 8 ; land facility, 0.0187, 8, 17 ; kim søgaard mikkelsen, 0.0184, 4, 9",0.4238,1.0,local plan ; land plant ; frederik tolstrup ; land facility ; kim søgaard mikkelsen
30,0,1,0,"jonna nielsen, 0.1064, 1, 7 ; linda kofoed persson, 0.0728, 1, 5 ; kofoed persson, 0.0728, 1, 5 ; linda kofoed, 0.0728, 1, 5 ; morten riis, 0.0550, 1, 4",1.0,1.0,jonna nielsen ; linda kofoed persson ; kofoed persson ; linda kofoed ; morten riis
31,0,10,0,"baltic sea, 0.0873, 10, 61 ; security policy, 0.0568, 6, 18 ; baltic bridge, 0.0320, 4, 11 ; critical infrastructure, 0.0299, 2, 5 ; war ukraine, 0.0184, 4, 8",0.6267,1.0,baltic sea ; security policy ; baltic bridge ; critical infrastructure ; war ukraine
32,2,13,0,"kriegers flak, 0.0537, 1, 6 ; local plan, 0.0329, 6, 48 ; ole sonne, 0.0283, 1, 11 ; land plant, 0.0196, 9, 28 ; high voltage station, 0.0196, 5, 9",0.2444,1.0,kriegers flak ; local plan ; ole sonne ; land plant ; high voltage station
33,0,5,0,"business fund, 0.0771, 2, 27 ; total dkk, 0.0484, 3, 14 ; says thomas, 0.0335, 1, 5 ; next year, 0.0326, 1, 2 ; bornholm business, 0.0322, 2, 17",0.3867,1.0,business fund ; total dkk ; says thomas ; next year ; bornholm business
34,0,9,0,"bornholm museum, 0.1566, 9, 38 ; finn ole, 0.0491, 1, 25 ; ole sonne, 0.0336, 1, 19 ; feasibility studies, 0.0230, 3, 6 ; says jacob, 0.0227, 3, 6",0.4519,1.0,bornholm museum ; finn ole ; ole sonne ; feasibility studies ; says jacob
35,0,26,0,"energy islands bornholm, 0.0166, 16, 63 ; islands bornholm, 0.0166, 16, 63 ; energy island, 0.0166, 26, 192 ; energy islands, 0.0109, 24, 89 ; south bornholm, 0.0102, 6, 11",0.7077,1.0,energy islands bornholm ; islands bornholm ; energy island ; energy islands ; south bornholm
36,2,39,0,"baltic energy, 0.0157, 18, 54 ; baltic energy island, 0.0150, 17, 51 ; rønne harbor, 0.0147, 17, 41 ; united states, 0.0115, 2, 8 ; green transition, 0.0080, 17, 38",0.374,1.0,baltic energy ; baltic energy island ; rønne harbor ; united states ; green transition
37,1,8,0,"baltic sea, 0.0369, 5, 24 ; submarine cable, 0.0319, 4, 14 ; environmental impact, 0.0307, 4, 17 ; bornholm zealand, 0.0277, 5, 10 ; danish environmental protection, 0.0277, 4, 14",0.4963,1.0,baltic sea ; submarine cable ; environmental impact ; bornholm zealand ; danish environmental protection
38,0,16,0,"municipal council, 0.0379, 12, 45 ; savings catalog, 0.0315, 7, 22 ; next year, 0.0284, 10, 31 ; 000 kroner, 0.0255, 5, 20 ; social democracy, 0.0240, 8, 39",0.5667,1.0,municipal council ; savings catalog ; next year ; 000 kroner ; social democracy
39,0,3,0,"cultural identity, 0.2315, 3, 19 ; young people, 0.0657, 1, 6 ; starting point, 0.0371, 1, 2 ; lag bornholm, 0.0365, 2, 3 ; give us, 0.0219, 1, 1",0.6,1.0,cultural identity ; young people ; starting point ; lag bornholm ; give us
40,0,2,0,"henrik espersen, 0.1578, 2, 12 ; nuclear power, 0.0602, 1, 6 ; offshore wind, 0.0446, 2, 17 ; wind turbines, 0.0429, 2, 10 ; offshore wind turbines, 0.0424, 2, 7",0.8667,1.0,henrik espersen ; nuclear power ; offshore wind ; wind turbines ; offshore wind turbines
41,0,34,0,"young people, 0.0197, 6, 25 ; labor market, 0.0190, 6, 10 ; green transition, 0.0122, 14, 36 ; municipal council, 0.0096, 12, 29 ; island also, 0.0090, 2, 2",0.2392,1.0,young people ; labor market ; green transition ; municipal council ; island also
42,0,11,0,"anne thomas, 0.1002, 8, 77 ; social democracy, 0.0733, 11, 61 ; top candidate, 0.0605, 7, 33 ; says anne thomas, 0.0350, 4, 26 ; says anne, 0.0340, 4, 26",0.7091,1.0,anne thomas ; social democracy ; top candidate ; says anne thomas ; says anne
43,2,16,0,"nuclear power, 0.0384, 2, 45 ; says peter, 0.0184, 3, 11 ; energy agency, 0.0172, 6, 26 ; general meeting, 0.0160, 3, 6 ; danish energy agency, 0.0160, 5, 24",0.1889,0.0,nuclear power ; says peter ; energy agency ; general meeting ; danish energy agency
44,0,17,0,"plan strategy, 0.0174, 2, 30 ; chresten andersen, 0.0142, 1, 6 ; niels chresten andersen, 0.0142, 1, 6 ; niels chresten, 0.0142, 1, 6 ; regional municipality, 0.0133, 8, 13",0.1059,0.0,plan strategy ; chresten andersen ; niels chresten andersen ; niels chresten ; regional municipality
45,0,4,0,"local plan, 0.1157, 1, 1 ; green business, 0.0943, 3, 14 ; large scale, 0.0849, 0, 0 ; green business park, 0.0598, 3, 10 ; business park, 0.0484, 3, 10",0.4333,1.0,local plan ; green business ; large scale ; green business park ; business park
46,0,4,0,"food school, 0.1241, 4, 29 ; søren schow, 0.0746, 4, 25 ; business park, 0.0711, 4, 28 ; heidi burgedahl, 0.0411, 4, 12 ; municipal council, 0.0403, 4, 19",1.0,1.0,food school ; søren schow ; business park ; heidi burgedahl ; municipal council
47,1,36,0,"energy islands bornholm, 0.0126, 26, 85 ; islands bornholm, 0.0126, 26, 85 ; baltic sea, 0.0120, 18, 36 ; gas station, 0.0110, 5, 7 ; electric cars, 0.0107, 2, 10",0.5405,1.0,energy islands bornholm ; islands bornholm ; baltic sea ; gas station ; electric cars
48,3,30,0,"offshore wind, 0.0281, 32, 251 ; bornholm offshore wind, 0.0271, 6, 8 ; bornholm offshore, 0.0264, 6, 8 ; offshore wind farm, 0.0141, 28, 97 ; open door, 0.0135, 9, 33",0.5394,1.0,offshore wind ; bornholm offshore wind ; bornholm offshore ; offshore wind farm ; open door
49,0,0,7,"even though, 0.1012, 1, 1 ; energy island, 0.1007, 6, 12 ; elsevier ltd, 0.0775, 2, 2 ; wave energy, 0.0723, 1, 2 ; real time, 0.0651, 0, 0",0.3524,1.0,even though ; energy island ; elsevier ltd ; wave energy ; real time
50,0,1,21,"wave energy, 0.1071, 4, 11 ; renewable energy, 0.0879, 14, 28 ; energy conversion, 0.0471, 2, 2 ; energy energy, 0.0398, 0, 0 ; wind energy, 0.0344, 4, 9",0.2606,1.0,wave energy ; renewable energy ; energy conversion ; energy energy ; wind energy
51,0,0,3,"energy island, 0.3228, 3, 3 ; wind power, 0.0878, 1, 5 ; energy consumption, 0.0802, 1, 1 ; results show, 0.0764, 1, 1 ; rights reserved, 0.0649, 1, 1",0.5556,1.0,energy island ; wind power ; energy consumption ; results show ; rights reserved
52,0,0,6,"new energy, 0.1300, 4, 4 ; control strategy, 0.1194, 2, 3 ; reactive power, 0.0888, 3, 4 ; power grid, 0.0620, 2, 2 ; grid frequency, 0.0553, 2, 3",0.4778,1.0,new energy ; control strategy ; reactive power ; power grid ; grid frequency
