cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
28,2,17,0,"drinking water, 0.0194, 2, 11 ; campus bornholm, 0.0159, 2, 7 ; regional municipality, 0.0130, 9, 20 ; jens hjul nielsen, 0.0102, 0, 0 ; hjul nielsen, 0.0102, 0, 0",0.1579,0.0,drinking water ; campus bornholm ; regional municipality ; jens hjul nielsen ; hjul nielsen
29,3,13,1,"solar cell, 0.0195, 1, 11 ; wind turbines, 0.0175, 12, 33 ; baltic sea, 0.0139, 9, 17 ; transformer station, 0.0115, 3, 9 ; data center, 0.0101, 1, 8",0.3412,1.0,solar cell ; wind turbines ; baltic sea ; transformer station ; data center
30,9,15,1,"wind farm, 0.0220, 20, 75 ; danish energy agency, 0.0185, 13, 65 ; energy agency, 0.0182, 13, 65 ; danish energy, 0.0176, 15, 68 ; wind turbines, 0.0162, 19, 49",0.64,1.0,wind farm ; danish energy agency ; energy agency ; danish energy ; wind turbines
31,0,11,0,"social democracy, 0.0475, 9, 33 ; municipal council, 0.0455, 10, 55 ; plan strategy, 0.0269, 2, 30 ; søren schow, 0.0185, 2, 28 ; unity list, 0.0159, 4, 20",0.6,1.0,social democracy ; municipal council ; plan strategy ; søren schow ; unity list
32,0,12,0,"baltic energy, 0.0268, 7, 22 ; baltic energy island, 0.0247, 6, 21 ; rønne harbor, 0.0158, 4, 12 ; mayor jacob, 0.0151, 7, 9 ; jacob trøst, 0.0141, 7, 11",0.5111,1.0,baltic energy ; baltic energy island ; rønne harbor ; mayor jacob ; jacob trøst
33,0,19,2,"renewable energy, 0.0168, 8, 24 ; lars aagaard, 0.0110, 3, 19 ; klaus vesløv, 0.0107, 2, 8 ; energy solutions, 0.0102, 3, 7 ; self sufficient, 0.0097, 0, 0",0.2032,1.0,renewable energy ; lars aagaard ; klaus vesløv ; energy solutions ; self sufficient
34,0,8,0,"land plant, 0.0295, 4, 12 ; søgaard mikkelsen, 0.0219, 2, 7 ; kim søgaard, 0.0219, 2, 7 ; kim søgaard mikkelsen, 0.0219, 2, 7 ; bornholm museum, 0.0209, 1, 2",0.325,1.0,land plant ; søgaard mikkelsen ; kim søgaard ; kim søgaard mikkelsen ; bornholm museum
35,1,21,0,"high voltage, 0.0278, 8, 18 ; high voltage station, 0.0245, 7, 15 ; voltage station, 0.0245, 9, 27 ; local plan, 0.0222, 9, 18 ; bornholm museum, 0.0198, 4, 9",0.3545,1.0,high voltage ; high voltage station ; voltage station ; local plan ; bornholm museum
36,3,10,0,"christa lodahl, 0.0185, 1, 11 ; 10 million, 0.0172, 1, 2 ; 31 billion, 0.0169, 1, 1 ; nuclear power, 0.0145, 3, 12 ; energy islands bornholm, 0.0140, 8, 61",0.1333,0.0,christa lodahl ; 10 million ; 31 billion ; nuclear power ; energy islands bornholm
37,1,7,3,"sustainable energy, 0.1641, 3, 3 ; really good, 0.0901, 1, 1 ; green island, 0.0219, 2, 3 ; energy projects, 0.0197, 1, 4 ; energy island, 0.0177, 7, 21",0.2061,1.0,sustainable energy ; really good ; green island ; energy projects ; energy island
38,0,31,0,"social democracy, 0.0151, 10, 44 ; jacob trøst, 0.0144, 15, 46 ; municipal council, 0.0132, 13, 45 ; morten riis, 0.0128, 3, 18 ; jacob consolation, 0.0116, 14, 31",0.3634,1.0,social democracy ; jacob trøst ; municipal council ; morten riis ; jacob consolation
39,0,10,0,"lea wermelin, 0.0245, 3, 25 ; development bornholm, 0.0157, 2, 4 ; land plant, 0.0132, 5, 11 ; says lea, 0.0131, 3, 9 ; says lea wermelin, 0.0131, 3, 9",0.3133,1.0,lea wermelin ; development bornholm ; land plant ; says lea ; says lea wermelin
40,0,13,1,"labor market, 0.0259, 2, 5 ; says klaus, 0.0186, 1, 3 ; municipal council, 0.0155, 5, 10 ; island baltic sea, 0.0135, 1, 1 ; young people, 0.0134, 1, 3",0.1524,0.0,labor market ; says klaus ; municipal council ; island baltic sea ; young people
41,6,19,2,"united states, 0.0175, 1, 7 ; european countries, 0.0136, 2, 2 ; state aid, 0.0123, 7, 23 ; energy security, 0.0115, 1, 1 ; energy islands bornholm, 0.0112, 18, 70",0.1333,0.0,united states ; european countries ; state aid ; energy security ; energy islands bornholm
42,0,7,0,"baltic sea, 0.0754, 5, 42 ; security policy, 0.0738, 5, 17 ; critical infrastructure, 0.0485, 4, 7 ; war ukraine, 0.0294, 5, 9 ; citizens association, 0.0291, 1, 1",0.6476,1.0,baltic sea ; security policy ; critical infrastructure ; war ukraine ; citizens association
43,0,15,0,"anne thomas, 0.0150, 1, 23 ; business park, 0.0135, 5, 14 ; meeting energy, 0.0121, 2, 5 ; new businesses, 0.0115, 6, 10 ; lone reppien thomsen, 0.0113, 1, 4",0.1956,0.0,anne thomas ; business park ; meeting energy ; new businesses ; lone reppien thomsen
44,0,13,0,"municipal council, 0.0471, 11, 47 ; 000 kroner, 0.0314, 5, 20 ; dkk million, 0.0286, 0, 0 ; social democracy, 0.0284, 7, 60 ; unity list, 0.0276, 9, 35",0.5026,1.0,municipal council ; 000 kroner ; dkk million ; social democracy ; unity list
45,0,11,1,"bornholm offshore, 0.0396, 1, 1 ; bornholm offshore wind, 0.0394, 1, 1 ; 000 inhabitants, 0.0152, 2, 2 ; took place, 0.0135, 1, 1 ; energy project, 0.0126, 3, 5",0.1111,0.0,bornholm offshore ; bornholm offshore wind ; 000 inhabitants ; took place ; energy project
46,2,25,1,"business park, 0.0200, 13, 51 ; create new, 0.0149, 4, 4 ; green business, 0.0147, 13, 33 ; green business park, 0.0133, 11, 31 ; sustainable energy, 0.0119, 3, 4",0.3452,1.0,business park ; create new ; green business ; green business park ; sustainable energy
47,0,1,0,"young people, 0.1996, 1, 6 ; lag bornholm, 0.0745, 1, 1 ; cultural identity, 0.0472, 1, 1 ; something new, 0.0385, 1, 1 ; 40 years, 0.0385, 1, 1",1.0,1.0,young people ; lag bornholm ; cultural identity ; something new ; 40 years
48,0,5,1,"district heating, 0.0406, 1, 4 ; danish energy agency, 0.0372, 4, 10 ; energy agency, 0.0369, 4, 10 ; danish energy, 0.0348, 4, 10 ; danish environmental, 0.0279, 2, 13",0.4778,1.0,district heating ; danish energy agency ; energy agency ; danish energy ; danish environmental
49,3,14,0,"climate plan, 0.0358, 2, 25 ; bornholm offshore wind, 0.0117, 0, 0 ; municipal council, 0.0112, 7, 26 ; bornholm offshore, 0.0111, 0, 0 ; climate act, 0.0090, 3, 10",0.1333,0.0,climate plan ; bornholm offshore wind ; municipal council ; bornholm offshore ; climate act
50,0,2,0,"juel jensen, 0.0850, 0, 0 ; peter juel jensen, 0.0768, 0, 0 ; peter juel, 0.0763, 1, 9 ; baltic sea, 0.0448, 2, 5 ; security policy, 0.0444, 2, 3",0.3,1.0,juel jensen ; peter juel jensen ; peter juel ; baltic sea ; security policy
51,0,3,0,"says peter, 0.0816, 1, 6 ; general meeting, 0.0602, 2, 4 ; year ago, 0.0503, 1, 2 ; infrastructure projects, 0.0475, 1, 3 ; electric cars, 0.0420, 1, 3",0.4222,1.0,says peter ; general meeting ; year ago ; infrastructure projects ; electric cars
52,1,2,1,"energy island, 0.2318, 4, 8 ; baltic sea, 0.0836, 3, 22 ; bornholm zealand, 0.0559, 3, 8 ; environmental impact, 0.0527, 3, 11 ; marine environment, 0.0483, 3, 7",0.8333,1.0,energy island ; baltic sea ; bornholm zealand ; environmental impact ; marine environment
