cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
31,2,12,0,"ole sonne, 0.0357, 1, 11 ; land plant, 0.0303, 9, 28 ; high voltage station, 0.0214, 5, 9 ; environmental protection agency, 0.0212, 6, 12 ; local plan area, 0.0212, 4, 18",0.3429,1.0,ole sonne ; land plant ; high voltage station ; environmental protection agency ; local plan area
32,0,5,0,"business fund, 0.0771, 2, 27 ; total dkk, 0.0484, 3, 14 ; next year, 0.0326, 1, 2 ; says thomas, 0.0324, 1, 5 ; bornholm business, 0.0322, 2, 17",0.3867,1.0,business fund ; total dkk ; next year ; says thomas ; bornholm business
33,0,9,0,"bornholm museum, 0.1570, 9, 38 ; finn ole, 0.0491, 1, 25 ; ole sonne, 0.0336, 1, 19 ; feasibility studies, 0.0230, 3, 6 ; says jacob, 0.0228, 3, 6",0.4519,1.0,bornholm museum ; finn ole ; ole sonne ; feasibility studies ; says jacob
34,0,26,0,"energy islands bornholm, 0.0165, 16, 63 ; south bornholm, 0.0165, 6, 11 ; bornholm energy island, 0.0164, 4, 4 ; land plant, 0.0107, 11, 30 ; lea wermelin, 0.0101, 5, 21",0.3667,1.0,energy islands bornholm ; south bornholm ; bornholm energy island ; land plant ; lea wermelin
35,2,39,0,"baltic energy island, 0.0156, 17, 51 ; rønne harbor, 0.0150, 17, 41 ; united states, 0.0146, 2, 8 ; green transition, 0.0115, 17, 38 ; claus andersen, 0.0082, 1, 2",0.3154,1.0,baltic energy island ; rønne harbor ; united states ; green transition ; claus andersen
36,1,8,0,"baltic sea, 0.0369, 5, 24 ; submarine cable, 0.0319, 4, 14 ; environmental impact, 0.0307, 4, 17 ; bornholm zealand, 0.0277, 5, 10 ; danish environmental protection, 0.0276, 4, 14",0.4963,1.0,baltic sea ; submarine cable ; environmental impact ; bornholm zealand ; danish environmental protection
37,0,16,0,"municipal council, 0.0383, 12, 45 ; savings catalog, 0.0316, 7, 22 ; next year, 0.0292, 10, 31 ; 000 kroner, 0.0262, 5, 20 ; social democracy, 0.0241, 8, 39",0.5667,1.0,municipal council ; savings catalog ; next year ; 000 kroner ; social democracy
38,0,3,0,"cultural identity, 0.2394, 3, 19 ; young people, 0.0657, 1, 6 ; starting point, 0.0398, 1, 2 ; lag bornholm, 0.0365, 2, 3 ; bornholm many, 0.0231, 0, 0",0.5778,1.0,cultural identity ; young people ; starting point ; lag bornholm ; bornholm many
39,0,2,0,"henrik espersen, 0.1581, 2, 12 ; nuclear power, 0.0615, 1, 6 ; offshore wind turbines, 0.0453, 2, 7 ; bornholm offshore wind, 0.0433, 0, 0 ; danish energy agency, 0.0427, 2, 5",0.7333,1.0,henrik espersen ; nuclear power ; offshore wind turbines ; bornholm offshore wind ; danish energy agency
40,0,34,0,"young people, 0.0198, 6, 25 ; labor market, 0.0190, 6, 10 ; green transition, 0.0123, 14, 36 ; municipal council, 0.0097, 12, 29 ; island also, 0.0088, 2, 2",0.2392,1.0,young people ; labor market ; green transition ; municipal council ; island also
