Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
sci,15,19,"energy system, 0.0237, 9, 26 ; sustainable energy, 0.0226, 3, 10 ; energy environmental, 0.0184, 1, 1 ; zero energy, 0.0183, 3, 5 ; small islands, 0.0175, 7, 8",0.2561,1.0,energy system ; sustainable energy ; energy environmental ; zero energy ; small islands
sci,16,22,"grid north, 0.0121, 5, 7 ; super grid, 0.0120, 0, 0 ; energy communities, 0.0119, 1, 6 ; energy policy, 0.0118, 3, 4 ; north sea, 0.0109, 9, 16",0.1303,0.0,grid north ; super grid ; energy communities ; energy policy ; north sea
sci,17,7,"kriegers flak, 0.0383, 3, 7 ; kf cgs, 0.0335, 2, 6 ; optimization problem, 0.0267, 1, 1 ; north baltic seas, 0.0252, 1, 1 ; wind power, 0.0251, 5, 8",0.3143,1.0,kriegers flak ; kf cgs ; optimization problem ; north baltic seas ; wind power
sci,18,2,"social norms, 0.1791, 2, 6 ; energy saving, 0.1056, 2, 4 ; paper first, 0.0528, 0, 0 ; island samsø, 0.0523, 0, 0 ; support energy, 0.0511, 2, 2",0.6667,1.0,social norms ; energy saving ; paper first ; island samsø ; support energy
sci,19,13,"sustainability transitions, 0.0387, 1, 6 ; multi vector, 0.0339, 0, 0 ; planning model, 0.0285, 2, 2 ; power systems, 0.0284, 4, 4 ; distributed generation, 0.0259, 2, 2",0.1077,0.0,sustainability transitions ; multi vector ; planning model ; power systems ; distributed generation
sci,20,2,"systems infrastructure, 0.1397, 2, 4 ; smart grid, 0.1190, 2, 4 ; organizers published research, 0.0649, 0, 0 ; organizers published, 0.0649, 0, 0 ; research publishing singapore, 0.0630, 0, 0",0.6,1.0,systems infrastructure ; smart grid ; organizers published research ; organizers published ; research publishing singapore
sci,21,1,"low voltage, 0.1659, 0, 0 ; presented paper, 0.1572, 0, 0 ; distribution system, 0.1567, 1, 3 ; paper also, 0.1534, 1, 1 ; results presented, 0.1418, 1, 1",0.4,1.0,low voltage ; presented paper ; distribution system ; paper also ; results presented
sci,22,22,"2017 ieee, 0.0280, 1, 1 ; cost parameter, 0.0222, 1, 8 ; energy storage, 0.0134, 5, 7 ; dynamic capacity, 0.0118, 1, 6 ; distribution network, 0.0096, 2, 4",0.0848,0.0,2017 ieee ; cost parameter ; energy storage ; dynamic capacity ; distribution network
sci,23,11,"mtdc grid, 0.0326, 2, 4 ; critical modes, 0.0231, 3, 6 ; multi terminal, 0.0204, 0, 0 ; dc voltage, 0.0200, 4, 4 ; small signal, 0.0180, 1, 1",0.1879,0.0,mtdc grid ; critical modes ; multi terminal ; dc voltage ; small signal
sci,24,12,"power quality, 0.0282, 2, 6 ; production wind, 0.0210, 2, 4 ; offshore wind generation, 0.0205, 3, 6 ; cross border, 0.0192, 0, 0 ; wind farms, 0.0190, 4, 11",0.1722,0.0,power quality ; production wind ; offshore wind generation ; cross border ; wind farms
sci,25,7,"energy security, 0.1777, 5, 13 ; context energy, 0.0496, 3, 3 ; energy policy, 0.0469, 2, 2 ; european countries, 0.0459, 2, 3 ; energy markets, 0.0424, 1, 1",0.4571,1.0,energy security ; context energy ; energy policy ; european countries ; energy markets
sci,26,13,"offshore grid, 0.0716, 5, 6 ; oil gas, 0.0419, 8, 10 ; co2 emissions, 0.0373, 6, 11 ; power hub, 0.0280, 3, 9 ; dnv gl, 0.0228, 1, 5",0.4205,1.0,offshore grid ; oil gas ; co2 emissions ; power hub ; dnv gl
