Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,37,3,7.7810216,4.9575143,"christa lodahl, 0.0185, 1, 11 ; 10 million, 0.0172, 1, 2 ; 31 billion, 0.0168, 1, 1 ; nuclear power, 0.0145, 3, 12 ; energy islands bornholm, 0.0136, 8, 61",0.1333,0.0,christa lodahl ; 10 million ; 31 billion ; nuclear power ; energy islands bornholm
pro,38,1,11.536003,3.7063699,"sustainable energy, 0.1336, 3, 3 ; really good, 0.0901, 1, 1 ; land sea, 0.0463, 2, 2 ; green island, 0.0219, 2, 3 ; energy projects, 0.0184, 1, 4",0.1818,0.0,sustainable energy ; really good ; land sea ; green island ; energy projects
pro,42,6,8.375679,5.8458385,"united states, 0.0175, 1, 7 ; european countries, 0.0136, 2, 2 ; state aid, 0.0121, 7, 23 ; energy security, 0.0115, 1, 1 ; energy islands bornholm, 0.0111, 18, 70",0.1333,0.0,united states ; european countries ; state aid ; energy security ; energy islands bornholm
pro,48,2,8.4651375,5.0924234,"create new, 0.0190, 4, 4 ; green business park, 0.0150, 11, 31 ; sustainable energy, 0.0142, 3, 4 ; green energy, 0.0129, 14, 38 ; social democracy, 0.0122, 5, 37",0.2524,1.0,create new ; green business park ; sustainable energy ; green energy ; social democracy
pro,52,3,6.347205,5.514736,"climate plan, 0.0364, 2, 25 ; bornholm offshore wind, 0.0119, 0, 0 ; municipal council, 0.0113, 7, 26 ; climate act, 0.0112, 3, 10 ; social democratic, 0.0092, 1, 3",0.149,0.0,climate plan ; bornholm offshore wind ; municipal council ; climate act ; social democratic
pro,54,1,8.074142,6.721747,"baltic sea, 0.2319, 3, 22 ; bornholm zealand, 0.0835, 3, 8 ; environmental impact, 0.0559, 3, 11 ; marine environment, 0.0527, 3, 7 ; cable connection, 0.0483, 2, 4",0.7333,1.0,baltic sea ; bornholm zealand ; environmental impact ; marine environment ; cable connection
pro,57,2,9.7027025,5.883646,"labor market, 0.0539, 5, 11 ; skilled workers, 0.0235, 2, 2 ; among things, 0.0200, 4, 7 ; recent years, 0.0197, 2, 2 ; first foremost, 0.0195, 1, 1",0.3333,1.0,labor market ; skilled workers ; among things ; recent years ; first foremost
pro,59,3,7.6190977,5.520455,"energy sector, 0.0324, 1, 2 ; transport sector, 0.0178, 1, 1 ; energy islands north, 0.0174, 4, 11 ; islands north sea, 0.0171, 4, 11 ; paris agreement, 0.0171, 1, 4",0.1667,0.0,energy sector ; transport sector ; energy islands north ; islands north sea ; paris agreement
pro,62,2,7.182899,7.0102954,"baltic sea, 0.0125, 7, 29 ; would rather, 0.0095, 3, 3 ; citizen meetings, 0.0092, 2, 2 ; open door, 0.0087, 2, 8 ; election campaign, 0.0084, 2, 8",0.2622,1.0,baltic sea ; would rather ; citizen meetings ; open door ; election campaign
pro,65,3,7.0867143,5.3980846,"electric cars, 0.0154, 3, 12 ; wind turbines, 0.0144, 20, 61 ; electricity prices, 0.0102, 2, 7 ; new jobs, 0.0093, 2, 3 ; come bornholm, 0.0092, 4, 4",0.2795,1.0,electric cars ; wind turbines ; electricity prices ; new jobs ; come bornholm
pro,74,2,10.795494,4.1405525,"island energy, 0.0554, 1, 1 ; energy system, 0.0529, 2, 3 ; green electricity, 0.0501, 1, 1 ; paris agreement, 0.0457, 2, 7 ; elsevier ltd, 0.0452, 1, 1",0.28,1.0,island energy ; energy system ; green electricity ; paris agreement ; elsevier ltd
