Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,5,3,0.68998325,6.533815,"nuclear power, 0.0334, 4, 48 ; co2 emissions, 0.0205, 12, 29 ; electric cars, 0.0182, 4, 13 ; paris agreement, 0.0138, 3, 12 ; green hydrogen, 0.0123, 7, 18",0.248,1.0,nuclear power ; co2 emissions ; electric cars ; paris agreement ; green hydrogen
reg,6,14,1.0300423,5.125205,"state aid, 0.0191, 19, 56 ; energy islands bornholm, 0.0171, 30, 149 ; danish energy agency, 0.0171, 24, 72 ; energy islands north, 0.0135, 10, 24 ; islands north sea, 0.0133, 10, 24",0.5419,1.0,state aid ; energy islands bornholm ; danish energy agency ; energy islands north ; islands north sea
reg,7,2,0.7378671,5.377474,"environmental impact, 0.0715, 6, 18 ; baltic sea, 0.0680, 4, 25 ; marine environment, 0.0504, 4, 9 ; environmental assessment, 0.0437, 3, 14 ; bornholm zealand, 0.0371, 3, 8",0.7444,1.0,environmental impact ; baltic sea ; marine environment ; environmental assessment ; bornholm zealand
reg,9,3,-0.5214345,6.7128778,"municipal elections, 0.1493, 1, 1 ; election campaign, 0.1388, 1, 1 ; climate action, 0.0879, 2, 2 ; make possible, 0.0848, 2, 2 ; new year, 0.0813, 2, 2",0.4667,1.0,municipal elections ; election campaign ; climate action ; make possible ; new year
reg,10,17,0.54998016,5.9745674,"rønne harbor, 0.0317, 10, 48 ; thomas bendtsen, 0.0254, 3, 21 ; christa lodahl, 0.0198, 2, 17 ; offshore wind turbines, 0.0172, 14, 37 ; nuclear power, 0.0171, 3, 18",0.3143,1.0,rønne harbor ; thomas bendtsen ; christa lodahl ; offshore wind turbines ; nuclear power
reg,11,12,-1.549693,6.9416995,"labor market, 0.0718, 8, 25 ; skilled workers, 0.0357, 4, 10 ; young people, 0.0323, 6, 10 ; danish business, 0.0247, 3, 6 ; bornholm companies, 0.0228, 5, 17",0.4359,1.0,labor market ; skilled workers ; young people ; danish business ; bornholm companies
reg,12,37,-0.3153895,7.145447,"baltic sea, 0.0185, 20, 42 ; press release, 0.0148, 11, 28 ; green energy, 0.0120, 19, 53 ; business center bornholm, 0.0118, 7, 23 ; campus bornholm, 0.0117, 6, 13",0.3877,1.0,baltic sea ; press release ; green energy ; business center bornholm ; campus bornholm
reg,13,12,1.192568,5.1311297,"danish energy agency, 0.0289, 17, 86 ; converter stations, 0.0286, 2, 8 ; offshore wind turbines, 0.0277, 11, 37 ; 15 kilometers, 0.0209, 7, 10 ; offshore wind farms, 0.0122, 16, 51",0.4952,1.0,danish energy agency ; converter stations ; offshore wind turbines ; 15 kilometers ; offshore wind farms
reg,14,14,-0.97994864,4.1684246,"high voltage station, 0.0300, 8, 15 ; land plant, 0.0300, 13, 44 ; local plan, 0.0286, 8, 31 ; marian kaagh, 0.0274, 4, 11 ; environmental protection agency, 0.0252, 7, 15",0.5822,1.0,high voltage station ; land plant ; local plan ; marian kaagh ; environmental protection agency
reg,15,24,-0.061410885,6.1418157,"local plan, 0.0191, 1, 1 ; energy island, 0.0175, 25, 81 ; get started, 0.0154, 4, 5 ; baltic sea, 0.0132, 9, 16 ; surplus heat, 0.0131, 6, 6",0.376,1.0,local plan ; energy island ; get started ; baltic sea ; surplus heat
