cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
39,0,28,0,"social democracy, 0.0166, 10, 44 ; jacob trøst, 0.0150, 14, 43 ; municipal council, 0.0149, 13, 45 ; morten riis, 0.0144, 3, 18 ; top candidate, 0.0109, 4, 14",0.369,1.0,social democracy ; jacob trøst ; municipal council ; morten riis ; top candidate
40,0,10,0,"lea wermelin, 0.0237, 3, 25 ; development bornholm, 0.0157, 2, 4 ; land plant, 0.0132, 5, 11 ; says lea wermelin, 0.0127, 3, 9 ; says lea, 0.0127, 3, 9",0.3133,1.0,lea wermelin ; development bornholm ; land plant ; says lea wermelin ; says lea
41,0,13,1,"labor market, 0.0259, 2, 5 ; says klaus, 0.0186, 1, 3 ; municipal council, 0.0154, 5, 10 ; island baltic sea, 0.0135, 1, 1 ; young people, 0.0134, 1, 3",0.1524,0.0,labor market ; says klaus ; municipal council ; island baltic sea ; young people
42,6,19,2,"united states, 0.0175, 1, 7 ; european countries, 0.0136, 2, 2 ; state aid, 0.0121, 7, 23 ; energy security, 0.0115, 1, 1 ; energy islands bornholm, 0.0111, 18, 70",0.1333,0.0,united states ; european countries ; state aid ; energy security ; energy islands bornholm
43,0,7,0,"baltic sea, 0.0791, 5, 42 ; security policy, 0.0738, 5, 17 ; critical infrastructure, 0.0553, 4, 7 ; war ukraine, 0.0295, 5, 9 ; citizens association, 0.0291, 1, 1",0.6476,1.0,baltic sea ; security policy ; critical infrastructure ; war ukraine ; citizens association
44,0,2,0,"people meeting, 0.3438, 0, 0 ; national assembly, 0.0912, 1, 1 ; municipal council, 0.0527, 1, 4 ; frederik tolstrup, 0.0405, 1, 1 ; food school, 0.0355, 1, 1",0.3333,1.0,people meeting ; national assembly ; municipal council ; frederik tolstrup ; food school
45,0,15,0,"anne thomas, 0.0150, 1, 23 ; business park, 0.0140, 5, 14 ; reppien thomsen, 0.0122, 1, 4 ; lone reppien thomsen, 0.0122, 1, 4 ; lone reppien, 0.0122, 1, 4",0.1378,0.0,anne thomas ; business park ; reppien thomsen ; lone reppien thomsen ; lone reppien
46,0,13,0,"municipal council, 0.0476, 11, 47 ; 000 kroner, 0.0323, 5, 20 ; dkk million, 0.0287, 0, 0 ; social democracy, 0.0285, 7, 60 ; unity list, 0.0278, 9, 35",0.5026,1.0,municipal council ; 000 kroner ; dkk million ; social democracy ; unity list
47,0,11,1,"bornholm offshore, 0.0407, 1, 1 ; bornholm offshore wind, 0.0404, 1, 1 ; 000 inhabitants, 0.0152, 2, 2 ; took place, 0.0135, 1, 1 ; offshore wind, 0.0130, 8, 60",0.1389,0.0,bornholm offshore ; bornholm offshore wind ; 000 inhabitants ; took place ; offshore wind
48,2,25,1,"business park, 0.0190, 13, 51 ; create new, 0.0150, 4, 4 ; green business, 0.0142, 13, 33 ; green business park, 0.0129, 11, 31 ; sustainable energy, 0.0122, 3, 4",0.3452,1.0,business park ; create new ; green business ; green business park ; sustainable energy
49,0,12,0,"local plan, 0.0338, 4, 42 ; local plan area, 0.0228, 4, 18 ; plan area, 0.0209, 4, 18 ; energy islands bornholm, 0.0144, 11, 23 ; islands bornholm, 0.0144, 11, 23",0.45,1.0,local plan ; local plan area ; plan area ; energy islands bornholm ; islands bornholm
50,0,1,0,"young people, 0.1996, 1, 6 ; lag bornholm, 0.0745, 1, 1 ; cultural identity, 0.0472, 1, 1 ; something new, 0.0385, 1, 1 ; 40 years, 0.0385, 1, 1",1.0,1.0,young people ; lag bornholm ; cultural identity ; something new ; 40 years
51,0,5,1,"district heating, 0.0406, 1, 4 ; danish energy agency, 0.0372, 4, 10 ; energy agency, 0.0369, 4, 10 ; danish energy, 0.0347, 4, 10 ; danish environmental, 0.0282, 2, 13",0.4778,1.0,district heating ; danish energy agency ; energy agency ; danish energy ; danish environmental
52,3,14,0,"climate plan, 0.0364, 2, 25 ; bornholm offshore wind, 0.0119, 0, 0 ; bornholm offshore, 0.0113, 0, 0 ; municipal council, 0.0112, 7, 26 ; climate act, 0.0092, 3, 10",0.1059,0.0,climate plan ; bornholm offshore wind ; bornholm offshore ; municipal council ; climate act
53,0,3,0,"says peter, 0.0816, 1, 6 ; general meeting, 0.0594, 2, 4 ; year ago, 0.0503, 1, 2 ; infrastructure projects, 0.0450, 1, 3 ; electric cars, 0.0420, 1, 3",0.4222,1.0,says peter ; general meeting ; year ago ; infrastructure projects ; electric cars
54,1,2,1,"energy island, 0.2319, 4, 8 ; baltic sea, 0.0835, 3, 22 ; bornholm zealand, 0.0559, 3, 8 ; environmental impact, 0.0527, 3, 11 ; marine environment, 0.0483, 3, 7",0.8333,1.0,energy island ; baltic sea ; bornholm zealand ; environmental impact ; marine environment
55,0,2,0,"business promotion, 0.0726, 2, 5 ; become part, 0.0707, 2, 3 ; bornholm future, 0.0690, 0, 0 ; says søren, 0.0685, 1, 4 ; among others, 0.0531, 2, 2",0.7333,1.0,business promotion ; become part ; bornholm future ; says søren ; among others
56,0,4,0,"jonna nielsen, 0.0496, 1, 3 ; political decision, 0.0354, 1, 1 ; new technology, 0.0352, 1, 1 ; bornholm make, 0.0351, 1, 1 ; green transition, 0.0344, 1, 2",0.25,1.0,jonna nielsen ; political decision ; new technology ; bornholm make ; green transition
57,2,8,0,"labor market, 0.0539, 5, 11 ; skilled workers, 0.0235, 2, 2 ; among things, 0.0200, 4, 7 ; recent years, 0.0197, 2, 2 ; first foremost, 0.0195, 1, 1",0.3333,1.0,labor market ; skilled workers ; among things ; recent years ; first foremost
58,0,1,0,"30 years, 0.1217, 1, 4 ; something new, 0.0922, 1, 3 ; 20 years, 0.0552, 1, 2 ; years ago, 0.0477, 1, 2 ; station bornholm, 0.0302, 1, 1",1.0,1.0,30 years ; something new ; 20 years ; years ago ; station bornholm
59,3,8,1,"energy sector, 0.0324, 1, 2 ; transport sector, 0.0178, 1, 1 ; energy islands north, 0.0174, 4, 11 ; islands north sea, 0.0171, 4, 11 ; islands north, 0.0171, 4, 11",0.1833,0.0,energy sector ; transport sector ; energy islands north ; islands north sea ; islands north
60,0,11,0,"thomas thors, 0.0226, 1, 5 ; 42 000, 0.0212, 0, 0 ; ten years, 0.0195, 2, 3 ; business community, 0.0194, 3, 12 ; bornholm business community, 0.0167, 3, 7",0.1212,0.0,thomas thors ; 42 000 ; ten years ; business community ; bornholm business community
61,0,8,0,"cultural identity, 0.0873, 3, 20 ; business fund, 0.0482, 2, 27 ; total dkk, 0.0277, 2, 13 ; bornholm business, 0.0251, 3, 18 ; bornholm companies, 0.0249, 3, 14",0.3167,1.0,cultural identity ; business fund ; total dkk ; bornholm business ; bornholm companies
62,2,13,0,"baltic sea, 0.0125, 7, 29 ; would rather, 0.0095, 3, 3 ; citizen meetings, 0.0092, 2, 2 ; open door, 0.0087, 2, 8 ; election campaign, 0.0084, 2, 8",0.2622,1.0,baltic sea ; would rather ; citizen meetings ; open door ; election campaign
63,0,5,0,"food school, 0.0710, 3, 26 ; part energy, 0.0652, 1, 1 ; consultation response, 0.0635, 2, 2 ; søren schow, 0.0515, 3, 24 ; land plant, 0.0424, 1, 1",0.4267,1.0,food school ; part energy ; consultation response ; søren schow ; land plant
64,0,19,0,"business park, 0.0354, 9, 59 ; ole sonne, 0.0223, 1, 11 ; municipal council, 0.0202, 14, 39 ; danish people party, 0.0180, 0, 0 ; danish people, 0.0180, 11, 23",0.3579,1.0,business park ; ole sonne ; municipal council ; danish people party ; danish people
65,3,23,0,"electric cars, 0.0154, 3, 12 ; wind turbines, 0.0144, 20, 61 ; electricity prices, 0.0102, 2, 7 ; new jobs, 0.0093, 2, 3 ; come bornholm, 0.0092, 4, 4",0.2795,1.0,electric cars ; wind turbines ; electricity prices ; new jobs ; come bornholm
66,0,2,2,"power plant, 0.1573, 1, 5 ; sustainable energy, 0.0812, 1, 1 ; young people, 0.0806, 2, 15 ; energy sources, 0.0636, 1, 1 ; rights reserved, 0.0604, 1, 1",0.3,1.0,power plant ; sustainable energy ; young people ; energy sources ; rights reserved
67,0,10,0,"social democracy, 0.0560, 7, 58 ; anne thomas, 0.0469, 3, 34 ; top candidate, 0.0295, 4, 20 ; unity list, 0.0250, 3, 35 ; social democratic, 0.0219, 3, 8",0.4533,1.0,social democracy ; anne thomas ; top candidate ; unity list ; social democratic
68,0,0,37,"ac grid, 0.0280, 7, 13 ; wind power, 0.0266, 15, 33 ; offshore grid, 0.0266, 29, 43 ; dc grid, 0.0234, 9, 17 ; hvdc transmission, 0.0231, 6, 8",0.3712,1.0,ac grid ; wind power ; offshore grid ; dc grid ; hvdc transmission
69,0,0,26,"vsc hvdc, 0.0645, 0, 0 ; five years, 0.0321, 1, 2 ; reactive power, 0.0246, 5, 13 ; offshore grid, 0.0239, 16, 21 ; multi terminal, 0.0232, 0, 0",0.1308,0.0,vsc hvdc ; five years ; reactive power ; offshore grid ; multi terminal
70,0,0,6,"wave energy, 0.2177, 2, 4 ; offshore grid, 0.1853, 2, 5 ; energy island, 0.1676, 3, 3 ; energy energy, 0.1229, 0, 0 ; energy storage, 0.0764, 2, 3",0.3222,1.0,wave energy ; offshore grid ; energy island ; energy energy ; energy storage
71,0,2,14,"hydrogen production, 0.0748, 12, 24 ; green hydrogen, 0.0594, 8, 16 ; energy system, 0.0316, 6, 16 ; offshore energy, 0.0230, 3, 5 ; case study, 0.0222, 2, 2",0.4917,1.0,hydrogen production ; green hydrogen ; energy system ; offshore energy ; case study
72,0,1,14,"energy island, 0.0895, 7, 19 ; even though, 0.0467, 1, 1 ; energy conversion, 0.0447, 3, 3 ; renewable energy, 0.0391, 7, 9 ; offshore energy, 0.0324, 5, 13",0.2978,1.0,energy island ; even though ; energy conversion ; renewable energy ; offshore energy
73,0,0,4,"energy consumption, 0.1034, 2, 2 ; vsc hvdc, 0.1011, 0, 0 ; wind power, 0.0638, 1, 5 ; results show, 0.0563, 1, 1 ; hvdc grid, 0.0541, 1, 5",0.2667,1.0,energy consumption ; vsc hvdc ; wind power ; results show ; hvdc grid
74,2,0,3,"island energy, 0.0554, 1, 1 ; energy system, 0.0529, 2, 3 ; green electricity, 0.0501, 1, 1 ; paris agreement, 0.0457, 2, 7 ; elsevier ltd, 0.0452, 1, 1",0.28,1.0,island energy ; energy system ; green electricity ; paris agreement ; elsevier ltd
75,0,0,3,"transmission grid, 0.3879, 3, 20 ; 400 kv, 0.1808, 3, 8 ; transmission system, 0.0503, 3, 3 ; case study, 0.0338, 2, 2 ; energy consumption, 0.0287, 2, 2",0.9333,1.0,transmission grid ; 400 kv ; transmission system ; case study ; energy consumption
76,0,0,4,"energy islands, 0.2341, 1, 1 ; wave energy, 0.1361, 1, 3 ; wind energy, 0.1149, 2, 7 ; renewable energy, 0.1118, 3, 8 ; storage system, 0.0523, 1, 2",0.3667,1.0,energy islands ; wave energy ; wind energy ; renewable energy ; storage system
77,0,0,27,"energy system, 0.0532, 10, 28 ; renewable energy, 0.0524, 19, 24 ; sustainable energy, 0.0398, 5, 13 ; energy sources, 0.0317, 8, 8 ; energy transition, 0.0282, 7, 8",0.4049,1.0,energy system ; renewable energy ; sustainable energy ; energy sources ; energy transition
78,1,1,27,"offshore grid, 0.0237, 16, 21 ; north sea, 0.0231, 10, 18 ; renewable energy, 0.0214, 9, 19 ; energy systems, 0.0190, 5, 7 ; european commission, 0.0174, 5, 15",0.3724,1.0,offshore grid ; north sea ; renewable energy ; energy systems ; european commission
79,0,0,2,"energy efficiency, 0.1254, 2, 2 ; support energy, 0.1234, 2, 2 ; transition energy, 0.1222, 2, 2 ; energy transition, 0.1203, 2, 2 ; decision making, 0.1185, 0, 0",0.9333,1.0,energy efficiency ; support energy ; transition energy ; energy transition ; decision making
80,0,0,24,"energy islands, 0.0612, 11, 15 ; energy systems, 0.0594, 7, 10 ; energy system, 0.0461, 8, 14 ; rights reserved, 0.0386, 4, 4 ; energy consumption, 0.0371, 1, 6",0.3222,1.0,energy islands ; energy systems ; energy system ; rights reserved ; energy consumption
81,0,0,3,"energy systems, 0.4450, 3, 3 ; energy island, 0.2735, 2, 4 ; development energy, 0.0895, 1, 1 ; among others, 0.0840, 1, 1 ; long time, 0.0820, 1, 1",0.6444,1.0,energy systems ; energy island ; development energy ; among others ; long time
