cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
53,0,0,3,"danish energy, 0.1424, 3, 3 ; paper proposes, 0.1325, 2, 2 ; waste heat, 0.1212, 1, 1 ; energy island bornholm, 0.1096, 2, 2 ; island bornholm, 0.1028, 2, 2",0.7111,1.0,danish energy ; paper proposes ; waste heat ; energy island bornholm ; island bornholm
54,2,0,19,"hydrogen production, 0.0762, 13, 27 ; green hydrogen, 0.0631, 11, 21 ; energy system, 0.0288, 7, 17 ; offshore wind, 0.0217, 15, 33 ; wind power, 0.0215, 6, 13",0.527,1.0,hydrogen production ; green hydrogen ; energy system ; offshore wind ; wind power
55,0,0,15,"energy systems, 0.1001, 6, 10 ; energy system, 0.0686, 7, 12 ; power systems, 0.0583, 5, 5 ; energy island, 0.0570, 9, 12 ; results show, 0.0438, 6, 6",0.4311,1.0,energy systems ; energy system ; power systems ; energy island ; results show
56,1,0,27,"energy system, 0.0671, 16, 37 ; renewable energy, 0.0607, 17, 29 ; elsevier ltd, 0.0406, 13, 13 ; energy sources, 0.0363, 9, 11 ; energy transition, 0.0307, 8, 9",0.5071,1.0,energy system ; renewable energy ; elsevier ltd ; energy sources ; energy transition
57,0,0,15,"voltage direct current, 0.0312, 7, 10 ; voltage direct, 0.0312, 8, 11 ; high voltage direct, 0.0312, 4, 5 ; power supply, 0.0308, 2, 3 ; offshore grid, 0.0305, 13, 18",0.4267,1.0,voltage direct current ; voltage direct ; high voltage direct ; power supply ; offshore grid
58,0,0,6,"sustainable energy, 0.0877, 4, 5 ; energy sources, 0.0684, 4, 4 ; renewable energy, 0.0656, 4, 8 ; energy production, 0.0553, 2, 3 ; renewable energy sources, 0.0524, 3, 3",0.6111,1.0,sustainable energy ; energy sources ; renewable energy ; energy production ; renewable energy sources
59,0,0,1,"important role, 0.2178, 1, 1 ; first time, 0.1943, 1, 1 ; simulation results, 0.1880, 1, 1 ; elsevier ltd, 0.1738, 1, 1 ; long term, 0.1406, 0, 0",0.9333,1.0,important role ; first time ; simulation results ; elsevier ltd ; long term
60,0,0,3,"transmission grid, 0.3879, 3, 20 ; 400 kv, 0.1808, 3, 8 ; transmission system, 0.0503, 3, 3 ; case study, 0.0338, 2, 2 ; energy consumption, 0.0287, 2, 2",0.9333,1.0,transmission grid ; 400 kv ; transmission system ; case study ; energy consumption
61,3,0,3,"north sea, 0.1353, 5, 23 ; million ton, 0.0481, 1, 1 ; construction work, 0.0412, 2, 2 ; united states, 0.0411, 1, 1 ; wave energy, 0.0401, 1, 1",0.4222,1.0,north sea ; million ton ; construction work ; united states ; wave energy
62,0,0,1,"island energy, 0.3834, 1, 1 ; results show, 0.3405, 1, 1 ; energy island, 0.2499, 1, 2",1.0,1.0,island energy ; results show ; energy island
