Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,4,2,2.1642818,7.3848557,"70 percent, 0.0277, 9, 20 ; climate act, 0.0226, 6, 24 ; climate council, 0.0199, 6, 23 ; green power, 0.0187, 11, 29 ; million tonnes, 0.0115, 2, 2",0.4625,1.0,70 percent ; climate act ; climate council ; green power ; million tonnes
reg,6,1,1.7197621,7.9649615,"million tonnes, 0.1084, 4, 15 ; climate council, 0.0756, 3, 14 ; 000 tonnes, 0.0379, 4, 7 ; tonnes co2, 0.0361, 3, 12 ; energy consumption, 0.0225, 1, 4",0.68,1.0,million tonnes ; climate council ; 000 tonnes ; tonnes co2 ; energy consumption
reg,8,2,1.5128611,7.3292694,"natural gas, 0.0231, 5, 19 ; ptx plants, 0.0154, 5, 9 ; among things, 0.0144, 9, 16 ; electrolysis capacity, 0.0141, 5, 9 ; cip foundation, 0.0138, 1, 10",0.3458,1.0,natural gas ; ptx plants ; among things ; electrolysis capacity ; cip foundation
reg,9,1,1.266383,7.076971,"drinking water, 0.0707, 1, 7 ; oil gas, 0.0658, 2, 8 ; says morten, 0.0651, 2, 6 ; construction project, 0.0402, 2, 4 ; regional municipality, 0.0294, 1, 6",0.5333,1.0,drinking water ; oil gas ; says morten ; construction project ; regional municipality
reg,10,1,0.9073049,6.6826477,"north sea, 0.0407, 20, 128 ; island north, 0.0182, 15, 34 ; island north sea, 0.0182, 15, 34 ; energy islands north, 0.0138, 10, 26 ; islands north sea, 0.0136, 10, 26",0.7121,1.0,north sea ; island north ; island north sea ; energy islands north ; islands north sea
reg,11,9,1.3095487,6.815949,"open door, 0.0163, 4, 25 ; one must, 0.0157, 5, 8 ; state aid, 0.0127, 6, 13 ; 10 million, 0.0124, 2, 4 ; danish energy agency, 0.0114, 9, 33",0.2367,1.0,open door ; one must ; state aid ; 10 million ; danish energy agency
reg,12,2,0.808135,6.3658214,"offshore wind, 0.0305, 15, 98 ; danish energy, 0.0246, 11, 26 ; danish energy agency, 0.0226, 8, 23 ; energy agency, 0.0224, 8, 23 ; wind turbines, 0.0208, 13, 41",0.7644,1.0,offshore wind ; danish energy ; danish energy agency ; energy agency ; wind turbines
reg,15,51,0.60947776,7.4578743,"islands bornholm, 0.0247, 48, 264 ; energy islands bornholm, 0.0245, 48, 264 ; energy islands, 0.0183, 58, 378 ; søren møller christensen, 0.0065, 10, 37 ; møller christensen, 0.0065, 10, 37",0.7067,1.0,islands bornholm ; energy islands bornholm ; energy islands ; søren møller christensen ; møller christensen
reg,16,25,-0.3421718,6.221492,"center bornholm, 0.0347, 13, 57 ; business center, 0.0306, 10, 44 ; business center bornholm, 0.0288, 10, 41 ; bornholm companies, 0.0216, 12, 33 ; press release, 0.0180, 7, 19",0.4427,1.0,center bornholm ; business center ; business center bornholm ; bornholm companies ; press release
reg,17,12,-0.28661287,6.0268574,"baltic sea, 0.0545, 10, 40 ; rønne harbor, 0.0454, 8, 20 ; thomas bendtsen, 0.0307, 2, 10 ; wind turbines, 0.0185, 8, 27 ; gas station, 0.0164, 3, 7",0.5944,1.0,baltic sea ; rønne harbor ; thomas bendtsen ; wind turbines ; gas station
reg,18,5,0.44776353,7.0445457,"district heating, 0.0572, 4, 13 ; waste heat, 0.0350, 2, 7 ; year ago, 0.0301, 1, 2 ; heat pumps, 0.0290, 2, 5 ; surplus heat, 0.0271, 2, 11",0.4933,1.0,district heating ; waste heat ; year ago ; heat pumps ; surplus heat
reg,19,5,-0.07070117,7.9935646,"jens hjul, 0.0811, 3, 20 ; jens hjul nielsen, 0.0737, 0, 0 ; hjul nielsen, 0.0737, 0, 0 ; campus bornholm, 0.0611, 1, 6 ; electricity network, 0.0370, 2, 5",0.2533,1.0,jens hjul ; jens hjul nielsen ; hjul nielsen ; campus bornholm ; electricity network
reg,20,9,-1.5900474,7.237955,"social democracy, 0.0458, 6, 29 ; election campaign, 0.0456, 4, 13 ; peter juel jensen, 0.0399, 0, 0 ; juel jensen, 0.0396, 0, 0 ; peter juel, 0.0396, 4, 23",0.3704,1.0,social democracy ; election campaign ; peter juel jensen ; juel jensen ; peter juel
reg,21,47,-0.23876916,6.728199,"land plant, 0.0225, 25, 82 ; land facility, 0.0109, 24, 47 ; consultation response, 0.0095, 9, 18 ; green energy, 0.0095, 18, 33 ; land facilities, 0.0091, 8, 9",0.3973,1.0,land plant ; land facility ; consultation response ; green energy ; land facilities
reg,22,10,-0.79720414,9.184754,"land facility, 0.0429, 8, 16 ; high voltage, 0.0407, 4, 5 ; architectural competition, 0.0331, 3, 12 ; fridrik adamsson, 0.0262, 2, 8 ; søgaard mikkelsen, 0.0258, 3, 8",0.48,1.0,land facility ; high voltage ; architectural competition ; fridrik adamsson ; søgaard mikkelsen
reg,23,16,0.3416945,6.6101284,"magnus brogaard, 0.0139, 6, 26 ; offshore wind, 0.0117, 17, 126 ; cip foundation, 0.0099, 1, 10 ; 000 tonnes, 0.0085, 3, 8 ; offshore wind farms, 0.0084, 13, 52",0.4,1.0,magnus brogaard ; offshore wind ; cip foundation ; 000 tonnes ; offshore wind farms
reg,24,14,-2.8613167,8.56126,"social democracy, 0.0620, 11, 92 ; people meeting, 0.0487, 0, 0 ; municipal council, 0.0337, 10, 52 ; group chairman, 0.0198, 8, 19 ; larsen jensen, 0.0184, 0, 0",0.481,1.0,social democracy ; people meeting ; municipal council ; group chairman ; larsen jensen
reg,25,53,-2.1736002,8.169521,"municipal council, 0.0194, 24, 100 ; energy island, 0.0158, 54, 400 ; election campaign, 0.0113, 3, 8 ; jacob trøst, 0.0106, 23, 49 ; social democracy, 0.0094, 12, 82",0.4975,1.0,municipal council ; energy island ; election campaign ; jacob trøst ; social democracy
reg,26,28,-1.9567395,7.4433403,"really good, 0.0349, 1, 1 ; business park, 0.0281, 13, 87 ; energy parks, 0.0150, 6, 20 ; center bornholm, 0.0128, 7, 18 ; green business, 0.0100, 10, 31",0.2357,1.0,really good ; business park ; energy parks ; center bornholm ; green business
reg,27,21,-1.3712223,7.904991,"climate plan, 0.0289, 2, 25 ; lars aagaard, 0.0208, 10, 27 ; jacob trøst, 0.0185, 12, 36 ; morten riis, 0.0143, 1, 10 ; climate energy, 0.0127, 5, 7",0.2952,1.0,climate plan ; lars aagaard ; jacob trøst ; morten riis ; climate energy
reg,28,17,-0.13316686,7.627885,"electricity prices, 0.0416, 7, 10 ; electricity grid, 0.0354, 14, 76 ; bornholm electricity, 0.0321, 12, 48 ; bornholm electricity grid, 0.0238, 12, 35 ; el net, 0.0213, 2, 2",0.51,1.0,electricity prices ; electricity grid ; bornholm electricity ; bornholm electricity grid ; el net
reg,29,14,-0.9009422,8.966529,"local plan, 0.0257, 6, 14 ; land plant, 0.0242, 9, 23 ; frederik tolstrup, 0.0193, 1, 8 ; land facility, 0.0187, 8, 17 ; kim søgaard mikkelsen, 0.0184, 4, 9",0.4238,1.0,local plan ; land plant ; frederik tolstrup ; land facility ; kim søgaard mikkelsen
reg,30,1,-0.6219944,8.657238,"jonna nielsen, 0.1064, 1, 7 ; linda kofoed persson, 0.0728, 1, 5 ; kofoed persson, 0.0728, 1, 5 ; linda kofoed, 0.0728, 1, 5 ; morten riis, 0.0550, 1, 4",1.0,1.0,jonna nielsen ; linda kofoed persson ; kofoed persson ; linda kofoed ; morten riis
reg,31,10,-1.333444,6.654782,"baltic sea, 0.0873, 10, 61 ; security policy, 0.0568, 6, 18 ; baltic bridge, 0.0320, 4, 11 ; critical infrastructure, 0.0299, 2, 5 ; war ukraine, 0.0184, 4, 8",0.6267,1.0,baltic sea ; security policy ; baltic bridge ; critical infrastructure ; war ukraine
reg,32,13,-0.64189535,8.633495,"kriegers flak, 0.0537, 1, 6 ; local plan, 0.0329, 6, 48 ; ole sonne, 0.0283, 1, 11 ; land plant, 0.0196, 9, 28 ; high voltage station, 0.0196, 5, 9",0.2444,1.0,kriegers flak ; local plan ; ole sonne ; land plant ; high voltage station
reg,33,5,-0.7154232,8.35038,"business fund, 0.0771, 2, 27 ; total dkk, 0.0484, 3, 14 ; says thomas, 0.0335, 1, 5 ; next year, 0.0326, 1, 2 ; bornholm business, 0.0322, 2, 17",0.3867,1.0,business fund ; total dkk ; says thomas ; next year ; bornholm business
reg,34,9,-1.5883659,9.126518,"bornholm museum, 0.1566, 9, 38 ; finn ole, 0.0491, 1, 25 ; ole sonne, 0.0336, 1, 19 ; feasibility studies, 0.0230, 3, 6 ; says jacob, 0.0227, 3, 6",0.4519,1.0,bornholm museum ; finn ole ; ole sonne ; feasibility studies ; says jacob
reg,35,26,-2.066921,8.291223,"energy islands bornholm, 0.0166, 16, 63 ; islands bornholm, 0.0166, 16, 63 ; energy island, 0.0166, 26, 192 ; energy islands, 0.0109, 24, 89 ; south bornholm, 0.0102, 6, 11",0.7077,1.0,energy islands bornholm ; islands bornholm ; energy island ; energy islands ; south bornholm
reg,36,39,-0.4682917,6.7235546,"baltic energy, 0.0157, 18, 54 ; baltic energy island, 0.0150, 17, 51 ; rønne harbor, 0.0147, 17, 41 ; united states, 0.0115, 2, 8 ; green transition, 0.0080, 17, 38",0.374,1.0,baltic energy ; baltic energy island ; rønne harbor ; united states ; green transition
