cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
36,0,29,0,"social democracy, 0.0290, 17, 96 ; business park, 0.0241, 16, 78 ; municipal council, 0.0205, 20, 93 ; søren schow, 0.0203, 10, 59 ; food school, 0.0185, 7, 32",0.5425,1.0,social democracy ; business park ; municipal council ; søren schow ; food school
37,0,0,10,"transmission grid, 0.1222, 4, 21 ; five years, 0.0844, 1, 2 ; 400 kv, 0.0540, 3, 8 ; wave energy, 0.0500, 1, 1 ; transition energy, 0.0467, 1, 1",0.24,1.0,transmission grid ; five years ; 400 kv ; wave energy ; transition energy
38,0,0,16,"simulation results, 0.0414, 8, 8 ; vsc hvdc, 0.0307, 0, 0 ; offshore grid, 0.0306, 12, 18 ; grid forming, 0.0299, 1, 1 ; institution engineering technology, 0.0289, 5, 5",0.3458,1.0,simulation results ; vsc hvdc ; offshore grid ; grid forming ; institution engineering technology
39,0,0,1,"energy island, 0.9792, 1, 1",1.0,1.0,energy island
40,0,0,16,"renewable energy, 0.0901, 11, 20 ; energy storage, 0.0747, 7, 14 ; energy energy, 0.0632, 1, 1 ; energy conversion, 0.0389, 2, 2 ; power supply, 0.0326, 3, 5",0.3875,1.0,renewable energy ; energy storage ; energy energy ; energy conversion ; power supply
41,0,0,23,"hydrogen production, 0.0698, 12, 27 ; green hydrogen, 0.0650, 12, 21 ; energy system, 0.0436, 10, 21 ; potential energy, 0.0323, 1, 1 ; offshore energy, 0.0270, 6, 8",0.4232,1.0,hydrogen production ; green hydrogen ; energy system ; potential energy ; offshore energy
42,0,0,24,"offshore grid, 0.0568, 15, 30 ; offshore wind, 0.0567, 16, 37 ; north sea, 0.0486, 11, 21 ; large scale, 0.0375, 4, 4 ; hvdc grid, 0.0280, 4, 7",0.5111,1.0,offshore grid ; offshore wind ; north sea ; large scale ; hvdc grid
43,0,0,6,"control strategy, 0.1168, 2, 3 ; new energy, 0.1077, 3, 3 ; paper proposes, 0.0803, 3, 3 ; reactive power, 0.0782, 3, 4 ; energy resources, 0.0565, 2, 2",0.4333,1.0,control strategy ; new energy ; paper proposes ; reactive power ; energy resources
44,0,0,15,"energy system, 0.1237, 4, 12 ; energy storage, 0.0460, 3, 6 ; waste heat, 0.0384, 2, 2 ; results show, 0.0359, 5, 5 ; energy consumption, 0.0313, 3, 3",0.2267,1.0,energy system ; energy storage ; waste heat ; results show ; energy consumption
45,2,0,23,"renewable energy, 0.0369, 9, 16 ; offshore grids, 0.0277, 5, 8 ; offshore energy hubs, 0.0263, 4, 13 ; north sea, 0.0248, 14, 24 ; climate change, 0.0246, 3, 4",0.288,1.0,renewable energy ; offshore grids ; offshore energy hubs ; north sea ; climate change
46,0,0,22,"sustainable energy, 0.0612, 6, 14 ; energy consumption, 0.0608, 3, 11 ; energy islands, 0.0540, 5, 5 ; future energy, 0.0445, 1, 1 ; rights reserved, 0.0394, 6, 6",0.197,0.0,sustainable energy ; energy consumption ; energy islands ; future energy ; rights reserved
47,0,0,1,"important role, 0.2178, 1, 1 ; first time, 0.1943, 1, 1 ; simulation results, 0.1880, 1, 1 ; elsevier ltd, 0.1738, 1, 1 ; long term, 0.1406, 0, 0",0.9333,1.0,important role ; first time ; simulation results ; elsevier ltd ; long term
48,0,0,1,"island energy, 0.3834, 1, 1 ; results show, 0.3405, 1, 1 ; energy island, 0.2499, 1, 2",1.0,1.0,island energy ; results show ; energy island
49,0,0,40,"renewable energy, 0.0815, 30, 54 ; energy systems, 0.0553, 12, 18 ; energy system, 0.0500, 22, 50 ; elsevier ltd, 0.0369, 16, 16 ; renewable energy sources, 0.0343, 12, 15",0.5133,1.0,renewable energy ; energy systems ; energy system ; elsevier ltd ; renewable energy sources
50,0,0,1,"elsevier ltd, 0.7111, 1, 1 ; energy island, 0.2629, 0, 0",0.6667,1.0,elsevier ltd ; energy island
51,0,1,12,"energy island, 0.0798, 10, 13 ; energy storage, 0.0487, 4, 6 ; reactive power, 0.0377, 1, 1 ; renewable energy sources, 0.0365, 4, 5 ; storage system, 0.0335, 2, 3",0.4051,1.0,energy island ; energy storage ; reactive power ; renewable energy sources ; storage system
52,0,0,23,"paper presents, 0.0496, 8, 8 ; offshore grids, 0.0396, 6, 6 ; simulation results, 0.0374, 5, 5 ; onshore grid, 0.0373, 6, 7 ; grid forming, 0.0328, 2, 2",0.2696,1.0,paper presents ; offshore grids ; simulation results ; onshore grid ; grid forming
53,0,0,9,"energy systems, 0.1461, 3, 3 ; energy production, 0.1052, 4, 4 ; energy island, 0.0771, 7, 14 ; support energy, 0.0599, 3, 3 ; real time, 0.0512, 0, 0",0.4296,1.0,energy systems ; energy production ; energy island ; support energy ; real time
54,0,0,1,"power plant, 0.6370, 1, 5 ; power generation, 0.1555, 1, 1 ; power system, 0.1345, 1, 1 ; energy island, 0.0407, 1, 1",1.0,1.0,power plant ; power generation ; power system ; energy island
55,0,1,16,"offshore grid, 0.0908, 6, 16 ; wave energy, 0.0872, 3, 6 ; really good, 0.0580, 1, 1 ; north sea, 0.0545, 7, 13 ; even though, 0.0411, 1, 1",0.2353,1.0,offshore grid ; wave energy ; really good ; north sea ; even though
56,0,0,13,"sustainable energy, 0.1419, 4, 4 ; renewable energy, 0.0536, 4, 7 ; rights reserved, 0.0481, 5, 5 ; local community, 0.0460, 1, 1 ; energy transition, 0.0450, 6, 7",0.3026,1.0,sustainable energy ; renewable energy ; rights reserved ; local community ; energy transition
