cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
47,0,0,1,"important role, 0.2178, 1, 1 ; first time, 0.1943, 1, 1 ; simulation results, 0.1880, 1, 1 ; elsevier ltd, 0.1738, 1, 1 ; long term, 0.1406, 0, 0",0.9333,1.0,important role ; first time ; simulation results ; elsevier ltd ; long term
48,0,0,1,"island energy, 0.3834, 1, 1 ; results show, 0.3405, 1, 1 ; energy island, 0.2499, 1, 2",1.0,1.0,island energy ; results show ; energy island
49,0,0,40,"energy systems, 0.0815, 12, 18 ; energy system, 0.0553, 22, 50 ; elsevier ltd, 0.0500, 16, 16 ; renewable energy sources, 0.0369, 12, 15 ; energy transition, 0.0343, 9, 10",0.3817,1.0,energy systems ; energy system ; elsevier ltd ; renewable energy sources ; energy transition
50,0,0,1,"elsevier ltd, 0.7111, 1, 1 ; energy island, 0.2629, 0, 0",0.6667,1.0,elsevier ltd ; energy island
51,0,1,12,"energy island, 0.0798, 10, 13 ; energy storage, 0.0487, 4, 6 ; reactive power, 0.0377, 1, 1 ; renewable energy sources, 0.0365, 4, 5 ; storage system, 0.0335, 2, 3",0.4051,1.0,energy island ; energy storage ; reactive power ; renewable energy sources ; storage system
52,0,0,23,"paper presents, 0.0496, 8, 8 ; offshore grids, 0.0396, 6, 6 ; simulation results, 0.0374, 5, 5 ; onshore grid, 0.0373, 6, 7 ; grid forming, 0.0328, 2, 2",0.2696,1.0,paper presents ; offshore grids ; simulation results ; onshore grid ; grid forming
53,0,0,9,"energy systems, 0.1461, 3, 3 ; energy production, 0.1052, 4, 4 ; energy island, 0.0771, 7, 14 ; support energy, 0.0599, 3, 3 ; real time, 0.0512, 0, 0",0.4296,1.0,energy systems ; energy production ; energy island ; support energy ; real time
54,0,0,1,"power plant, 0.6370, 1, 5 ; power generation, 0.1555, 1, 1 ; power system, 0.1345, 1, 1 ; energy island, 0.0407, 1, 1",1.0,1.0,power plant ; power generation ; power system ; energy island
55,0,1,16,"offshore grid, 0.0908, 6, 16 ; wave energy, 0.0872, 3, 6 ; really good, 0.0580, 1, 1 ; north sea, 0.0545, 7, 13 ; even though, 0.0411, 1, 1",0.2353,1.0,offshore grid ; wave energy ; really good ; north sea ; even though
56,0,0,13,"sustainable energy, 0.1419, 4, 4 ; renewable energy, 0.0536, 4, 7 ; rights reserved, 0.0481, 5, 5 ; local community, 0.0460, 1, 1 ; energy transition, 0.0450, 6, 7",0.3026,1.0,sustainable energy ; renewable energy ; rights reserved ; local community ; energy transition
57,0,0,24,"vsc hvdc, 0.1011, 1, 2 ; hvdc transmission, 0.0356, 7, 8 ; voltage direct current, 0.0257, 8, 8 ; high voltage direct, 0.0257, 7, 7 ; multi terminal, 0.0230, 0, 0",0.1972,0.0,vsc hvdc ; hvdc transmission ; voltage direct current ; high voltage direct ; multi terminal
58,0,0,27,"offshore grid, 0.0933, 19, 34 ; north sea, 0.0620, 15, 26 ; offshore wind energy, 0.0599, 9, 16 ; offshore grids, 0.0454, 6, 8 ; energy security, 0.0363, 4, 4",0.4889,1.0,offshore grid ; north sea ; offshore wind energy ; offshore grids ; energy security
59,0,0,4,"energy system, 0.1500, 1, 2 ; energy production, 0.1290, 1, 1 ; power plants, 0.1159, 1, 1 ; co2 emissions, 0.0942, 2, 3 ; results show, 0.0895, 1, 1",0.2833,1.0,energy system ; energy production ; power plants ; co2 emissions ; results show
60,0,0,40,"offshore grid, 0.0571, 30, 51 ; north sea, 0.0342, 17, 27 ; power system, 0.0333, 13, 20 ; offshore wind farms, 0.0315, 15, 16 ; cross border, 0.0235, 0, 0",0.4783,1.0,offshore grid ; north sea ; power system ; offshore wind farms ; cross border
61,0,0,6,"wave energy, 0.2100, 3, 4 ; long term, 0.1233, 0, 0 ; elsevier ltd, 0.0884, 2, 2 ; short term, 0.0853, 1, 1 ; oil gas, 0.0768, 1, 2",0.2667,1.0,wave energy ; long term ; elsevier ltd ; short term ; oil gas
62,0,0,12,"dc voltage, 0.0518, 4, 11 ; voltage source converter, 0.0480, 4, 4 ; offshore grid, 0.0352, 11, 16 ; offshore wind power, 0.0349, 6, 12 ; wind turbine, 0.0343, 9, 18",0.5,1.0,dc voltage ; voltage source converter ; offshore grid ; offshore wind power ; wind turbine
63,0,0,22,"offshore ac, 0.0579, 11, 22 ; reactive power, 0.0571, 11, 27 ; power flow, 0.0428, 9, 17 ; wind power plants, 0.0405, 10, 19 ; wind farm, 0.0368, 10, 30",0.4727,1.0,offshore ac ; reactive power ; power flow ; wind power plants ; wind farm
64,0,0,42,"dc grid, 0.0469, 14, 28 ; multi terminal, 0.0352, 0, 0 ; ac grid, 0.0277, 7, 16 ; offshore grid, 0.0220, 27, 42 ; offshore wind power, 0.0190, 13, 15",0.2508,1.0,dc grid ; multi terminal ; ac grid ; offshore grid ; offshore wind power
65,0,0,10,"long term, 0.1035, 1, 2 ; electricity prices, 0.0724, 1, 1 ; short term, 0.0526, 0, 0 ; case study, 0.0436, 5, 5 ; vsc hvdc, 0.0430, 1, 2",0.1333,0.0,long term ; electricity prices ; short term ; case study ; vsc hvdc
66,0,0,24,"hvdc converter, 0.0534, 10, 16 ; hvdc system, 0.0360, 8, 12 ; hvdc transmission, 0.0334, 4, 5 ; offshore hvdc, 0.0307, 5, 8 ; dc voltage, 0.0305, 3, 5",0.2972,1.0,hvdc converter ; hvdc system ; hvdc transmission ; offshore hvdc ; dc voltage
67,0,0,7,"offshore grid, 0.0851, 4, 5 ; power system, 0.0644, 1, 2 ; offshore hvdc, 0.0622, 2, 2 ; offshore wind power, 0.0528, 3, 3 ; transmission network, 0.0498, 2, 2",0.3619,1.0,offshore grid ; power system ; offshore hvdc ; offshore wind power ; transmission network
68,0,0,2,"real time, 0.4978, 1, 1",0.5,1.0,real time
