Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,9,1,7.8901377,-1.9606036,"drinking water, 0.0670, 1, 7 ; oil gas, 0.0658, 2, 8 ; says morten, 0.0651, 2, 6 ; construction project, 0.0402, 2, 4 ; regional municipality, 0.0277, 1, 6",0.5333,1.0,drinking water ; oil gas ; says morten ; construction project ; regional municipality
reg,10,1,8.583845,-2.196483,"north sea, 0.0412, 20, 128 ; island north sea, 0.0183, 15, 34 ; artificial island, 0.0183, 11, 25 ; energy islands north, 0.0141, 10, 26 ; islands north sea, 0.0140, 10, 26",0.6758,1.0,north sea ; island north sea ; artificial island ; energy islands north ; islands north sea
reg,11,9,8.24894,-1.7993661,"one must, 0.0164, 5, 8 ; state aid, 0.0157, 6, 13 ; 10 million, 0.0125, 2, 4 ; danish energy agency, 0.0124, 9, 33 ; sea area, 0.0115, 4, 9",0.2567,1.0,one must ; state aid ; 10 million ; danish energy agency ; sea area
reg,12,2,8.837948,-2.201728,"offshore wind, 0.0305, 15, 98 ; danish energy, 0.0243, 11, 26 ; danish energy agency, 0.0224, 8, 23 ; wind turbines, 0.0222, 13, 41 ; offshore wind turbines, 0.0207, 9, 19",0.7911,1.0,offshore wind ; danish energy ; danish energy agency ; wind turbines ; offshore wind turbines
reg,15,51,8.134691,-2.7137413,"energy islands bornholm, 0.0250, 48, 264 ; energy islands, 0.0248, 58, 378 ; søren møller christensen, 0.0185, 10, 37 ; danish energy agency, 0.0067, 21, 39 ; billion kroner, 0.0067, 17, 34",0.6233,1.0,energy islands bornholm ; energy islands ; søren møller christensen ; danish energy agency ; billion kroner
reg,16,25,8.954025,-3.4035008,"center bornholm, 0.0350, 13, 57 ; business center bornholm, 0.0308, 10, 41 ; bornholm companies, 0.0290, 12, 33 ; press release, 0.0220, 7, 19 ; lone reppien thomsen, 0.0181, 4, 13",0.424,1.0,center bornholm ; business center bornholm ; bornholm companies ; press release ; lone reppien thomsen
reg,17,12,9.102394,-3.323325,"baltic sea, 0.0545, 10, 40 ; rønne harbor, 0.0454, 8, 20 ; thomas bendtsen, 0.0308, 2, 10 ; wind turbines, 0.0185, 8, 27 ; gas station, 0.0164, 3, 7",0.5944,1.0,baltic sea ; rønne harbor ; thomas bendtsen ; wind turbines ; gas station
reg,18,5,8.184312,-2.682397,"district heating, 0.0572, 4, 13 ; waste heat, 0.0349, 2, 7 ; year ago, 0.0301, 1, 2 ; heat pumps, 0.0290, 2, 5 ; surplus heat, 0.0271, 2, 11",0.4933,1.0,district heating ; waste heat ; year ago ; heat pumps ; surplus heat
reg,19,5,7.2639694,-4.0866,"jens hjul, 0.0813, 3, 20 ; jens hjul nielsen, 0.0739, 0, 0 ; campus bornholm, 0.0739, 1, 6 ; bornholm electricity network, 0.0611, 2, 4 ; board directors, 0.0370, 2, 5",0.32,1.0,jens hjul ; jens hjul nielsen ; campus bornholm ; bornholm electricity network ; board directors
reg,20,9,7.121345,-4.139262,"social democracy, 0.0457, 6, 29 ; election campaign, 0.0456, 4, 13 ; peter juel jensen, 0.0399, 0, 0 ; peter juel, 0.0397, 4, 23 ; lea wermelin, 0.0396, 4, 13",0.4296,1.0,social democracy ; election campaign ; peter juel jensen ; peter juel ; lea wermelin
reg,21,47,8.462987,-3.4678817,"land plant, 0.0225, 25, 82 ; land facility, 0.0109, 24, 47 ; consultation response, 0.0095, 9, 18 ; green energy, 0.0095, 18, 33 ; energy island, 0.0081, 49, 238",0.4531,1.0,land plant ; land facility ; consultation response ; green energy ; energy island
reg,22,10,9.309646,-5.183188,"land facility, 0.0422, 8, 16 ; high voltage, 0.0407, 4, 5 ; architectural competition, 0.0331, 3, 12 ; fridrik adamsson, 0.0262, 2, 8 ; kim søgaard mikkelsen, 0.0262, 3, 8",0.48,1.0,land facility ; high voltage ; architectural competition ; fridrik adamsson ; kim søgaard mikkelsen
reg,23,16,8.757239,-2.9938445,"magnus brogaard, 0.0137, 6, 26 ; offshore wind, 0.0116, 17, 126 ; cip foundation, 0.0099, 1, 10 ; 000 tonnes, 0.0087, 3, 8 ; copenhagen infrastructure partners, 0.0085, 10, 13",0.39,1.0,magnus brogaard ; offshore wind ; cip foundation ; 000 tonnes ; copenhagen infrastructure partners
reg,24,14,7.1023965,-6.5892615,"social democracy, 0.0641, 11, 92 ; people meeting, 0.0487, 0, 0 ; municipal council, 0.0351, 10, 52 ; group chairman, 0.0205, 8, 19 ; rené danielsson, 0.0194, 3, 14",0.4952,1.0,social democracy ; people meeting ; municipal council ; group chairman ; rené danielsson
reg,25,53,7.609227,-5.844853,"municipal council, 0.0193, 24, 100 ; energy island, 0.0157, 54, 400 ; election campaign, 0.0113, 3, 8 ; jacob trøst, 0.0105, 23, 49 ; social democracy, 0.0092, 12, 82",0.4975,1.0,municipal council ; energy island ; election campaign ; jacob trøst ; social democracy
reg,26,28,7.314738,-5.175743,"really good, 0.0349, 1, 1 ; business park, 0.0275, 13, 87 ; energy parks, 0.0147, 6, 20 ; business center bornholm, 0.0127, 7, 11 ; business development, 0.0099, 7, 9",0.2286,1.0,really good ; business park ; energy parks ; business center bornholm ; business development
reg,27,21,8.042096,-5.0260925,"climate plan, 0.0294, 2, 25 ; lars aagaard, 0.0209, 10, 27 ; jacob trøst, 0.0186, 12, 36 ; morten riis, 0.0144, 1, 10 ; climate energy, 0.0127, 5, 7",0.2952,1.0,climate plan ; lars aagaard ; jacob trøst ; morten riis ; climate energy
reg,28,17,7.4977274,-3.5737584,"electricity prices, 0.0417, 7, 10 ; electricity grid, 0.0359, 14, 76 ; bornholm electricity grid, 0.0322, 12, 35 ; net east, 0.0240, 6, 15 ; connected energy, 0.0235, 8, 11",0.49,1.0,electricity prices ; electricity grid ; bornholm electricity grid ; net east ; connected energy
reg,29,14,9.001307,-5.2510285,"local plan, 0.0262, 6, 14 ; land plant, 0.0241, 9, 23 ; frederik tolstrup, 0.0193, 1, 8 ; kim søgaard mikkelsen, 0.0185, 4, 9 ; land facility, 0.0185, 8, 17",0.4048,1.0,local plan ; land plant ; frederik tolstrup ; kim søgaard mikkelsen ; land facility
reg,30,10,7.7705746,-4.2757845,"baltic sea, 0.0905, 10, 61 ; security policy, 0.0568, 6, 18 ; critical infrastructure, 0.0346, 2, 5 ; baltic bridge, 0.0329, 4, 11 ; war ukraine, 0.0185, 4, 8",0.6133,1.0,baltic sea ; security policy ; critical infrastructure ; baltic bridge ; war ukraine
reg,31,12,9.011957,-5.020606,"local plan, 0.0357, 6, 48 ; ole sonne, 0.0303, 1, 11 ; land plant, 0.0214, 9, 28 ; high voltage station, 0.0212, 5, 9 ; voltage station, 0.0212, 7, 22",0.3714,1.0,local plan ; ole sonne ; land plant ; high voltage station ; voltage station
reg,32,5,7.317444,-2.7223854,"business fund, 0.0771, 2, 27 ; total dkk, 0.0484, 3, 14 ; next year, 0.0326, 1, 2 ; says thomas, 0.0324, 1, 5 ; bornholm business, 0.0322, 2, 17",0.3867,1.0,business fund ; total dkk ; next year ; says thomas ; bornholm business
reg,33,9,8.639121,-5.7897897,"bornholm museum, 0.1570, 9, 38 ; finn ole, 0.0491, 1, 25 ; ole sonne, 0.0336, 1, 19 ; feasibility studies, 0.0230, 3, 6 ; says jacob, 0.0228, 3, 6",0.4519,1.0,bornholm museum ; finn ole ; ole sonne ; feasibility studies ; says jacob
reg,34,26,7.787525,-5.72863,"energy islands bornholm, 0.0165, 16, 63 ; energy island, 0.0165, 26, 192 ; energy islands, 0.0164, 24, 89 ; south bornholm, 0.0107, 6, 11 ; bornholm energy island, 0.0101, 4, 4",0.6974,1.0,energy islands bornholm ; energy island ; energy islands ; south bornholm ; bornholm energy island
reg,35,39,8.496967,-3.6211424,"baltic energy island, 0.0156, 17, 51 ; rønne harbor, 0.0150, 17, 41 ; united states, 0.0146, 2, 8 ; green transition, 0.0115, 17, 38 ; claus andersen, 0.0082, 1, 2",0.3154,1.0,baltic energy island ; rønne harbor ; united states ; green transition ; claus andersen
reg,36,8,8.02702,-3.5802844,"baltic sea, 0.0369, 5, 24 ; submarine cable, 0.0319, 4, 14 ; environmental impact, 0.0307, 4, 17 ; bornholm zealand, 0.0277, 5, 10 ; danish environmental protection, 0.0276, 4, 14",0.4963,1.0,baltic sea ; submarine cable ; environmental impact ; bornholm zealand ; danish environmental protection
reg,37,16,6.7854767,-5.899973,"municipal council, 0.0383, 12, 45 ; savings catalog, 0.0316, 7, 22 ; next year, 0.0292, 10, 31 ; 000 kroner, 0.0262, 5, 20 ; social democracy, 0.0241, 8, 39",0.5667,1.0,municipal council ; savings catalog ; next year ; 000 kroner ; social democracy
reg,38,3,7.5118856,-5.110641,"cultural identity, 0.2394, 3, 19 ; young people, 0.0657, 1, 6 ; starting point, 0.0398, 1, 2 ; lag bornholm, 0.0365, 2, 3 ; bornholm many, 0.0231, 0, 0",0.5778,1.0,cultural identity ; young people ; starting point ; lag bornholm ; bornholm many
reg,39,2,7.1477704,-3.3284988,"henrik espersen, 0.1581, 2, 12 ; nuclear power, 0.0615, 1, 6 ; offshore wind turbines, 0.0453, 2, 7 ; bornholm offshore wind, 0.0433, 0, 0 ; danish energy agency, 0.0427, 2, 5",0.7333,1.0,henrik espersen ; nuclear power ; offshore wind turbines ; bornholm offshore wind ; danish energy agency
reg,40,34,7.435363,-5.0567856,"young people, 0.0198, 6, 25 ; labor market, 0.0190, 6, 10 ; green transition, 0.0123, 14, 36 ; municipal council, 0.0097, 12, 29 ; island also, 0.0088, 2, 2",0.2392,1.0,young people ; labor market ; green transition ; municipal council ; island also
reg,41,11,7.2034054,-6.567676,"anne thomas, 0.1003, 8, 77 ; social democracy, 0.0739, 11, 61 ; top candidate, 0.0604, 7, 33 ; says anne thomas, 0.0351, 4, 26 ; social democratic, 0.0340, 5, 11",0.7152,1.0,anne thomas ; social democracy ; top candidate ; says anne thomas ; social democratic
reg,42,16,7.36531,-4.3819537,"nuclear power, 0.0389, 2, 45 ; says peter, 0.0184, 3, 11 ; general meeting, 0.0171, 3, 6 ; danish energy agency, 0.0160, 5, 24 ; energy islands bornholm, 0.0158, 10, 40",0.1889,0.0,nuclear power ; says peter ; general meeting ; danish energy agency ; energy islands bornholm
reg,43,17,7.2979007,-5.1169996,"plan strategy, 0.0175, 2, 30 ; niels chresten andersen, 0.0142, 1, 6 ; regional municipality, 0.0142, 8, 13 ; municipal council, 0.0142, 9, 37 ; søren schow, 0.0133, 3, 29",0.2314,1.0,plan strategy ; niels chresten andersen ; regional municipality ; municipal council ; søren schow
reg,44,4,7.2000446,-5.3472147,"local plan, 0.1157, 1, 1 ; large scale, 0.0927, 0, 0 ; green business park, 0.0849, 3, 10 ; energy island, 0.0581, 4, 8 ; says thomas, 0.0470, 1, 4",0.3833,1.0,local plan ; large scale ; green business park ; energy island ; says thomas
reg,45,4,7.006949,-6.3398805,"food school, 0.1244, 4, 29 ; søren schow, 0.0750, 4, 25 ; business park, 0.0711, 4, 28 ; heidi burgedahl, 0.0414, 4, 12 ; municipal council, 0.0398, 4, 19",1.0,1.0,food school ; søren schow ; business park ; heidi burgedahl ; municipal council
