topic_int,topic_names_from_bertopic,count,total_count,percentage
0,"0, offshor, connect, wind, island",5,115,0.043
0,"1, grid, offshor, hvdc, wind",6,115,0.052
0,"10, wind, offshor, connect, farm",3,115,0.026
0,"11, co2, bioga, fuel, car",2,115,0.017
0,"12, electr, data, color, wind",3,115,0.026
0,"13, grid, ac, power, control",3,115,0.026
0,"15, control, grid, offshor, power",4,115,0.035
0,"16, offshor, error, wind, energi",3,115,0.026
0,"18, energi, bornholm, climat, island",7,115,0.061
0,"2, billion, project, energi, economi",4,115,0.035
0,"20, hydrogen, guard, green, poland",1,115,0.009
0,"21, offshor, wind, port, bornholm",1,115,0.009
0,"22, energi, wind, electr, bornholm",1,115,0.009
0,"25, wind, electr, offshor, turbin",1,115,0.009
0,"26, wind, offshor, dyls, jani",1,115,0.009
