UMAP1,UMAP2,cluster
4.7930846,6.2740626,2
5.087068,5.2610693,2
7.0553274,4.8657346,2
4.292384,5.664062,2
6.0976987,3.7526479,2
5.822863,5.816608,2
4.2872763,4.586509,2
4.1294646,5.533863,2
5.194855,5.430981,2
6.780925,5.9722514,2
6.9530954,6.2521133,2
6.89586,5.078374,2
7.3054852,4.355067,2
5.7744093,5.364698,2
6.615067,6.4966946,2
6.4151206,5.449589,2
1.314586,3.0171568,0
7.464757,5.3568196,2
6.941489,5.3485103,2
5.2727013,5.5893745,2
5.469553,6.695808,2
4.987646,4.504078,2
7.488285,5.63623,2
5.0703874,5.5738287,2
7.101758,4.2948437,2
5.4194202,3.0345335,2
5.5675406,3.111014,2
5.4807005,3.0130575,2
3.7427824,1.9454819,1
5.8543572,3.3067472,2
7.0436044,4.7352395,2
7.4520993,5.602297,2
7.59092,5.5341597,2
6.400928,5.456326,2
6.4412823,5.8877735,2
6.3828187,5.9025593,2
5.36837,2.8985806,2
7.3085394,4.6903405,2
6.9357524,6.285297,2
7.4182734,5.0414934,2
3.8287513,4.3237853,2
4.5840654,5.5988398,2
6.7424426,4.965657,2
6.2208047,5.653254,2
5.7367535,5.536571,2
4.589213,4.481764,2
6.3422832,4.7269173,2
6.9681745,3.8120759,2
7.297868,4.3667126,2
6.074409,3.7199311,2
6.295243,5.90373,2
7.195826,4.9969935,2
4.8698983,6.0563054,2
7.0136766,4.1844916,2
5.815668,5.4122024,2
5.8623075,5.5831423,2
7.386316,6.029185,2
7.262756,6.133425,2
7.125992,6.1562424,2
7.168392,6.076375,2
7.248682,4.499068,2
6.2184777,5.0210423,2
6.635242,4.243979,2
6.9632196,4.0572724,2
5.253158,4.3920865,2
7.259361,4.3132863,2
6.2392273,3.7819986,2
6.3945875,4.4139285,2
6.355584,6.5588145,2
6.951342,4.414044,2
7.2208924,4.423186,2
7.0758057,4.5960126,2
3.9433212,4.634068,2
7.115015,4.031542,2
4.5884967,6.1461306,2
3.8179932,4.2211246,2
5.578746,3.320944,2
5.697932,3.9336884,2
7.0831356,3.8903878,2
5.108118,5.9271913,2
4.7204914,5.827501,2
4.39899,6.3649545,2
4.226027,6.3433857,2
6.0422716,3.2534792,2
5.562569,6.738717,2
6.3307757,6.2242517,2
6.115413,2.8629615,2
7.407861,4.946458,2
6.0773396,5.829274,2
3.689427,3.8516896,2
6.1112595,3.0800784,2
4.8261104,3.5774276,2
4.808205,5.896472,2
5.9818463,3.6168551,2
5.286193,3.5811098,2
6.973524,6.3440356,2
6.827604,3.7352126,2
4.5583982,3.618481,2
6.6162863,6.5732183,2
4.718058,4.3105435,2
3.9107127,6.0520253,2
3.4961622,4.3063827,2
