UMAP1,UMAP2,cluster
4.032179,8.943364,0
4.361633,9.851929,0
7.8319383,7.7904563,3
3.9624498,10.045658,0
6.0506005,10.659562,0
4.4086986,10.117806,0
5.841435,10.739079,0
5.535835,7.8217964,1
6.5089917,8.146792,2
6.5268264,10.063893,-1
5.178616,8.072268,-1
5.501923,8.042768,-1
4.255091,9.409965,0
3.8548672,8.6681185,0
7.7045264,8.6717205,5
5.085953,7.8916106,-1
5.1132364,8.025263,-1
3.7516205,8.104167,0
5.7508473,7.5290675,1
7.929331,9.086561,-1
1.8091768,8.9849205,0
3.8960242,8.153564,0
5.817946,7.746832,1
4.17745,8.238394,0
4.5517244,8.269845,0
2.8580515,9.818942,0
0.885352,9.73831,0
7.374925,7.913716,3
2.418976,9.531464,0
2.7038486,9.646142,0
6.0436053,10.50285,0
4.4748597,10.58864,0
3.841305,10.079419,0
5.4761205,9.629227,-1
6.0675955,8.545437,2
5.4419928,9.446106,0
5.1823874,10.143581,0
2.3479295,8.822431,0
3.1227171,8.879018,0
3.8612247,10.062932,0
3.3771336,10.6199465,0
3.5526478,9.016218,0
5.9227953,10.548492,0
3.5936403,8.145944,0
2.0777981,8.284991,0
5.2483997,9.996059,0
5.0749135,10.699643,0
2.7315001,9.069974,0
6.8866196,7.704175,3
1.5087882,9.287273,0
4.45278,10.614163,0
2.0701504,8.672164,0
5.806161,10.023964,-1
2.0766382,8.6674795,0
3.2975357,8.199419,0
2.392448,8.397435,0
5.631739,10.242764,0
5.2987194,10.448359,0
4.6591544,11.011175,-1
4.9273973,10.941536,0
1.3753103,9.078293,0
3.1568677,9.3463545,0
5.004667,10.075296,0
2.5174677,8.682876,0
2.6724472,8.526556,0
4.74548,10.476078,0
5.1084204,10.112949,0
2.8202693,9.092228,0
7.5431194,10.171579,5
4.1124563,10.278883,0
4.3884716,9.886256,0
2.4939628,8.871091,0
2.5775464,10.9920025,0
6.7473154,10.508873,5
2.1910863,8.390968,0
3.3099148,9.244469,0
2.3044534,8.326263,0
2.8424966,9.441692,0
5.3391337,9.486782,0
5.1609163,8.692388,-1
2.8860252,9.85383,0
3.136552,10.248539,0
5.5675697,10.568926,0
7.6895857,7.173811,3
2.5112274,8.781919,0
3.4978697,10.201068,0
4.329643,9.6327,0
1.9204159,10.6371355,0
5.7381167,9.988769,-1
2.9179795,9.898529,0
0.4092536,9.575433,0
5.2772446,10.01467,0
