topic_int,topic_names,labels_layer,Source
3,energiø bornholm,3: energiø bornholm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
9,north sea,9: north sea,Reg Media
0,energi island,0: energi island,Reg Media
8,district heat,8: district heat,Reg Media
4,wind turbin,4: wind turbin,Reg Media
6,municip council,6: municip council,Reg Media
5,wind farm,5: wind farm,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
6,municip council,6: municip council,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
8,district heat,8: district heat,Reg Media
4,wind turbin,4: wind turbin,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
2,offshor wind,2: offshor wind,Reg Media
4,wind turbin,4: wind turbin,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
