topic_int,topic_names,labels_layer,Source,topic_names_from_bertopic,main_topic_name
10,green transit,10: green transit,Pro Media,"4, green, hydrogen, busi, bornholm","6, center, bornholm, compani, busi"
3,north sea,3: north sea,Pro Media,"18, area, energinet, consult, agenc","5, island, connect, energi, bornholm"
10,green transit,10: green transit,Pro Media,"34, municip, green, bornholm, need","6, center, bornholm, compani, busi"
9,right reserv,9: right reserv,Pro Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
2,energiø bornholm,2: energiø bornholm,Pro Media,"34, municip, green, bornholm, need","33, energinet, area, plant, architect"
8,danish energi,8: danish energi,Pro Media,"14, say, democraci, social, municip","0, museum, project, energi, say"
9,right reserv,9: right reserv,Pro Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
2,energiø bornholm,2: energiø bornholm,Pro Media,"8, billion, energi, project, say","33, energinet, area, plant, architect"
10,green transit,10: green transit,Pro Media,"4, green, hydrogen, busi, bornholm","6, center, bornholm, compani, busi"
8,danish energi,8: danish energi,Pro Media,"5, island, connect, energi, bornholm","0, museum, project, energi, say"
8,danish energi,8: danish energi,Pro Media,"5, island, connect, energi, bornholm","0, museum, project, energi, say"
8,danish energi,8: danish energi,Pro Media,"19, wind, state, energinet, gw","0, museum, project, energi, say"
2,energiø bornholm,2: energiø bornholm,Pro Media,"33, energinet, area, plant, architect","33, energinet, area, plant, architect"
10,green transit,10: green transit,Pro Media,"13, hydrogen, co2, fund, compani","6, center, bornholm, compani, busi"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"8, billion, energi, project, say","18, area, energinet, consult, agenc"
3,north sea,3: north sea,Pro Media,"30, bornholm, wind, offshor, also","5, island, connect, energi, bornholm"
10,green transit,10: green transit,Pro Media,"0, museum, project, energi, say","6, center, bornholm, compani, busi"
9,right reserv,9: right reserv,Pro Media,"6, center, bornholm, compani, busi","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"0, museum, project, energi, say","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"11, energi, island, price, compens","5, island, connect, energi, bornholm"
8,danish energi,8: danish energi,Pro Media,Noise,"0, museum, project, energi, say"
3,north sea,3: north sea,Pro Media,"9, bornholm, municip, year, energi","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"5, island, connect, energi, bornholm","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"10, bornholm, new, energi, green","5, island, connect, energi, bornholm"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
9,right reserv,9: right reserv,Pro Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
8,danish energi,8: danish energi,Pro Media,"19, wind, state, energinet, gw","0, museum, project, energi, say"
3,north sea,3: north sea,Pro Media,"39, say, municip, island, bornholm","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"21, energi, island, bornholm, wind","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
8,danish energi,8: danish energi,Pro Media,"13, hydrogen, co2, fund, compani","0, museum, project, energi, say"
8,danish energi,8: danish energi,Pro Media,"19, wind, state, energinet, gw","0, museum, project, energi, say"
9,right reserv,9: right reserv,Pro Media,"7, bornholm, island, energi, cool","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"24, hydrogen, bornholm, cip, energi","4, green, hydrogen, busi, bornholm"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
3,north sea,3: north sea,Pro Media,"14, say, democraci, social, municip","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"21, energi, island, bornholm, wind","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"9, bornholm, municip, year, energi","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"5, island, connect, energi, bornholm","5, island, connect, energi, bornholm"
8,danish energi,8: danish energi,Pro Media,"8, billion, energi, project, say","0, museum, project, energi, say"
9,right reserv,9: right reserv,Pro Media,"13, hydrogen, co2, fund, compani","4, green, hydrogen, busi, bornholm"
10,green transit,10: green transit,Pro Media,"19, wind, state, energinet, gw","6, center, bornholm, compani, busi"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
9,right reserv,9: right reserv,Pro Media,"13, hydrogen, co2, fund, compani","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"30, bornholm, wind, offshor, also","5, island, connect, energi, bornholm"
8,danish energi,8: danish energi,Pro Media,"33, energinet, area, plant, architect","0, museum, project, energi, say"
3,north sea,3: north sea,Pro Media,"21, energi, island, bornholm, wind","5, island, connect, energi, bornholm"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
9,right reserv,9: right reserv,Pro Media,"10, bornholm, new, energi, green","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"10, bornholm, new, energi, green","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"11, energi, island, price, compens","5, island, connect, energi, bornholm"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
2,energiø bornholm,2: energiø bornholm,Pro Media,"0, museum, project, energi, say","33, energinet, area, plant, architect"
3,north sea,3: north sea,Pro Media,"9, bornholm, municip, year, energi","5, island, connect, energi, bornholm"
6,wind turbin,6: wind turbin,Pro Media,"34, municip, green, bornholm, need","10, bornholm, new, energi, green"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,Noise,"18, area, energinet, consult, agenc"
6,wind turbin,6: wind turbin,Pro Media,"34, municip, green, bornholm, need","10, bornholm, new, energi, green"
3,north sea,3: north sea,Pro Media,"5, island, connect, energi, bornholm","5, island, connect, energi, bornholm"
3,north sea,3: north sea,Pro Media,"7, bornholm, island, energi, cool","5, island, connect, energi, bornholm"
9,right reserv,9: right reserv,Pro Media,"6, center, bornholm, compani, busi","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"24, hydrogen, bornholm, cip, energi","4, green, hydrogen, busi, bornholm"
8,danish energi,8: danish energi,Pro Media,"8, billion, energi, project, say","0, museum, project, energi, say"
11,bornholm offshor wind,11: bornholm offshor wind,Pro Media,"11, energi, island, price, compens","18, area, energinet, consult, agenc"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
9,right reserv,9: right reserv,Pro Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Pro Media,"25, comput, say, also, energi","5, island, connect, energi, bornholm"
2,energiø bornholm,2: energiø bornholm,Pro Media,"5, island, connect, energi, bornholm","33, energinet, area, plant, architect"
2,energiø bornholm,2: energiø bornholm,Pro Media,"17, heat, bornholm, green, must","33, energinet, area, plant, architect"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
7,wind farm,7: wind farm,Pro Media,"32, transmiss, grid, offshor, system","16, control, grid, convert, voltag"
9,right reserv,9: right reserv,Pro Media,"12, bornholm, year, green, energi","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"28, bornholm, guard, must, mani","4, green, hydrogen, busi, bornholm"
8,danish energi,8: danish energi,Pro Media,"8, billion, energi, project, say","0, museum, project, energi, say"
9,right reserv,9: right reserv,Pro Media,"13, hydrogen, co2, fund, compani","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"7, bornholm, island, energi, cool","4, green, hydrogen, busi, bornholm"
9,right reserv,9: right reserv,Pro Media,"22, bornholm, harbor, busi, ptx","4, green, hydrogen, busi, bornholm"
8,danish energi,8: danish energi,Pro Media,"0, museum, project, energi, say","0, museum, project, energi, say"
9,right reserv,9: right reserv,Pro Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
8,danish energi,8: danish energi,Pro Media,"11, energi, island, price, compens","0, museum, project, energi, say"
8,danish energi,8: danish energi,Pro Media,"8, billion, energi, project, say","0, museum, project, energi, say"
10,green transit,10: green transit,Reg Media,"34, municip, green, bornholm, need","6, center, bornholm, compani, busi"
0,energi island,0: energi island,Reg Media,Noise,"4, green, hydrogen, busi, bornholm"
6,wind turbin,6: wind turbin,Reg Media,"15, bornholm, municip, climat, energi","10, bornholm, new, energi, green"
0,energi island,0: energi island,Reg Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
0,energi island,0: energi island,Reg Media,"17, heat, bornholm, green, must","4, green, hydrogen, busi, bornholm"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"15, bornholm, municip, climat, energi","18, area, energinet, consult, agenc"
0,energi island,0: energi island,Reg Media,"9, bornholm, municip, year, energi","4, green, hydrogen, busi, bornholm"
0,energi island,0: energi island,Reg Media,Noise,"4, green, hydrogen, busi, bornholm"
0,energi island,0: energi island,Reg Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Reg Media,"22, bornholm, harbor, busi, ptx","5, island, connect, energi, bornholm"
0,energi island,0: energi island,Reg Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
0,energi island,0: energi island,Reg Media,"15, bornholm, municip, climat, energi","4, green, hydrogen, busi, bornholm"
10,green transit,10: green transit,Reg Media,"22, bornholm, harbor, busi, ptx","6, center, bornholm, compani, busi"
10,green transit,10: green transit,Reg Media,"13, hydrogen, co2, fund, compani","6, center, bornholm, compani, busi"
0,energi island,0: energi island,Reg Media,"13, hydrogen, co2, fund, compani","4, green, hydrogen, busi, bornholm"
6,wind turbin,6: wind turbin,Reg Media,"28, bornholm, guard, must, mani","10, bornholm, new, energi, green"
9,right reserv,9: right reserv,Reg Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"9, bornholm, municip, year, energi","18, area, energinet, consult, agenc"
10,green transit,10: green transit,Reg Media,"22, bornholm, harbor, busi, ptx","6, center, bornholm, compani, busi"
10,green transit,10: green transit,Reg Media,"6, center, bornholm, compani, busi","6, center, bornholm, compani, busi"
3,north sea,3: north sea,Reg Media,"37, busi, park, bornholm, say","5, island, connect, energi, bornholm"
2,energiø bornholm,2: energiø bornholm,Reg Media,"37, busi, park, bornholm, say","33, energinet, area, plant, architect"
5,renew energi,5: renew energi,Reg Media,"4, green, hydrogen, busi, bornholm","2, energi, renew, paper, transit"
8,danish energi,8: danish energi,Reg Media,"0, museum, project, energi, say","0, museum, project, energi, say"
4,municip council,4: municip council,Reg Media,"10, bornholm, new, energi, green","14, say, democraci, social, municip"
0,energi island,0: energi island,Reg Media,"24, hydrogen, bornholm, cip, energi","4, green, hydrogen, busi, bornholm"
0,energi island,0: energi island,Reg Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
0,energi island,0: energi island,Reg Media,"34, municip, green, bornholm, need","4, green, hydrogen, busi, bornholm"
0,energi island,0: energi island,Reg Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
0,energi island,0: energi island,Reg Media,"13, hydrogen, co2, fund, compani","4, green, hydrogen, busi, bornholm"
10,green transit,10: green transit,Reg Media,"6, center, bornholm, compani, busi","6, center, bornholm, compani, busi"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"14, say, democraci, social, municip","18, area, energinet, consult, agenc"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"21, energi, island, bornholm, wind","18, area, energinet, consult, agenc"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"7, bornholm, island, energi, cool","18, area, energinet, consult, agenc"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"37, busi, park, bornholm, say","18, area, energinet, consult, agenc"
6,wind turbin,6: wind turbin,Reg Media,"7, bornholm, island, energi, cool","10, bornholm, new, energi, green"
0,energi island,0: energi island,Reg Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"10, bornholm, new, energi, green","18, area, energinet, consult, agenc"
10,green transit,10: green transit,Reg Media,"6, center, bornholm, compani, busi","6, center, bornholm, compani, busi"
10,green transit,10: green transit,Reg Media,"6, center, bornholm, compani, busi","6, center, bornholm, compani, busi"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"24, hydrogen, bornholm, cip, energi","18, area, energinet, consult, agenc"
6,wind turbin,6: wind turbin,Reg Media,"22, bornholm, harbor, busi, ptx","10, bornholm, new, energi, green"
10,green transit,10: green transit,Reg Media,"4, green, hydrogen, busi, bornholm","6, center, bornholm, compani, busi"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"12, bornholm, year, green, energi","18, area, energinet, consult, agenc"
3,north sea,3: north sea,Reg Media,"8, billion, energi, project, say","5, island, connect, energi, bornholm"
0,energi island,0: energi island,Reg Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
10,green transit,10: green transit,Reg Media,"6, center, bornholm, compani, busi","6, center, bornholm, compani, busi"
0,energi island,0: energi island,Reg Media,"9, bornholm, municip, year, energi","4, green, hydrogen, busi, bornholm"
3,north sea,3: north sea,Reg Media,"30, bornholm, wind, offshor, also","5, island, connect, energi, bornholm"
10,green transit,10: green transit,Reg Media,"6, center, bornholm, compani, busi","6, center, bornholm, compani, busi"
0,energi island,0: energi island,Reg Media,"4, green, hydrogen, busi, bornholm","4, green, hydrogen, busi, bornholm"
10,green transit,10: green transit,Reg Media,"6, center, bornholm, compani, busi","6, center, bornholm, compani, busi"
6,wind turbin,6: wind turbin,Reg Media,"17, heat, bornholm, green, must","10, bornholm, new, energi, green"
0,energi island,0: energi island,Reg Media,"6, center, bornholm, compani, busi","4, green, hydrogen, busi, bornholm"
6,wind turbin,6: wind turbin,Reg Media,"15, bornholm, municip, climat, energi","10, bornholm, new, energi, green"
2,energiø bornholm,2: energiø bornholm,Reg Media,"25, comput, say, also, energi","33, energinet, area, plant, architect"
2,energiø bornholm,2: energiø bornholm,Reg Media,"39, say, municip, island, bornholm","33, energinet, area, plant, architect"
0,energi island,0: energi island,Reg Media,Noise,"4, green, hydrogen, busi, bornholm"
2,energiø bornholm,2: energiø bornholm,Reg Media,"10, bornholm, new, energi, green","33, energinet, area, plant, architect"
