Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,1,6.623718,3.6374714,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,8.299561,5.5502954,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,7.2050934,2.849156,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,8.459604,3.9814212,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,7.165629,2.822199,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,6.2676334,3.2924523,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,8.024419,5.7139034,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,0,5.883297,4.9646378,"data center, 0.0139 | million tonnes, 0.0125 | million ton, 0.0093 | co2 emissions, 0.0088 | district heating, 0.0086",energy co2 climate green dkk
pro,0,7.5184083,5.322632,"data center, 0.0139 | million tonnes, 0.0125 | million ton, 0.0093 | co2 emissions, 0.0088 | district heating, 0.0086",energy co2 climate green dkk
pro,1,7.3807936,2.0000937,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,0,5.845196,4.843991,"data center, 0.0139 | million tonnes, 0.0125 | million ton, 0.0093 | co2 emissions, 0.0088 | district heating, 0.0086",energy co2 climate green dkk
pro,0,6.726649,5.5914044,"data center, 0.0139 | million tonnes, 0.0125 | million ton, 0.0093 | co2 emissions, 0.0088 | district heating, 0.0086",energy co2 climate green dkk
pro,1,9.055272,5.616301,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,8.990338,5.301589,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,6.2685723,3.5744162,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,8.374489,3.864138,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,1,8.782318,2.8054268,"offshore wind, 0.0128 | energy islands, 0.0071 | wind turbines, 0.0057 | north sea, 0.0055 | islands bornholm, 0.0053",energy wind island islands offshore
pro,0,7.3412075,5.5675225,"data center, 0.0139 | million tonnes, 0.0125 | million ton, 0.0093 | co2 emissions, 0.0088 | district heating, 0.0086",energy co2 climate green dkk
