Source,cluster,x,y,topic_name
reg,5,7.40292,5.9152694,hydrogen product electrolysi plant green fuel
reg,2,4.369182,3.8792076,center bornholm busi center labor market
reg,11,3.9238951,5.089257,31 billion 20 billion energiø bornholm
reg,9,5.7539887,1.9456971,jacob trøst citizen meet mayor jacob trøst
reg,9,5.29619,1.8147486,jacob trøst citizen meet mayor jacob trøst
reg,5,7.5296535,5.7933717,hydrogen product electrolysi plant green fuel
reg,5,7.46368,5.9063745,hydrogen product electrolysi plant green fuel
reg,6,5.8887596,6.213747,offshor wind wind turbin wind farm
reg,2,5.150708,4.334607,center bornholm busi center labor market
reg,14,3.7733955,1.8744105,social democraci social democrat ann thoma
reg,5,7.537879,5.8477106,hydrogen product electrolysi plant green fuel
reg,9,5.4617047,1.9220605,jacob trøst citizen meet mayor jacob trøst
reg,4,6.587454,3.4457433,busi park energi park energi island
reg,1,7.7667613,3.4398415,high voltag voltag station bornholm museum
reg,5,7.4493937,6.4976497,hydrogen product electrolysi plant green fuel
reg,9,5.201697,1.9912765,jacob trøst citizen meet mayor jacob trøst
reg,14,4.2541885,1.6843344,social democraci social democrat ann thoma
reg,1,7.646316,2.4619176,high voltag voltag station bornholm museum
reg,9,4.943607,2.670859,jacob trøst citizen meet mayor jacob trøst
reg,11,4.068515,5.8570743,31 billion 20 billion energiø bornholm
reg,2,4.19013,3.5949,center bornholm busi center labor market
reg,11,3.884758,5.5449333,31 billion 20 billion energiø bornholm
reg,10,7.019674,4.59065,electr grid bornholm electr price zone
reg,10,6.8784246,4.5741096,electr grid bornholm electr price zone
reg,11,3.8021746,5.6041446,31 billion 20 billion energiø bornholm
reg,1,7.429851,3.1975737,high voltag voltag station bornholm museum
reg,11,4.1560106,5.909979,31 billion 20 billion energiø bornholm
reg,8,4.690253,5.958411,baltic sea baltic energi baltic energi island
reg,2,4.4215684,3.5144563,center bornholm busi center labor market
reg,8,4.8925524,6.241973,baltic sea baltic energi baltic energi island
reg,9,5.138516,1.8044938,jacob trøst citizen meet mayor jacob trøst
reg,0,5.078873,5.37199,citizen associ transform station associ energiø
reg,1,7.6222296,2.4832969,high voltag voltag station bornholm museum
reg,1,6.799689,3.4351168,high voltag voltag station bornholm museum
reg,3,5.924849,3.9155343,green transit green island realli good
reg,5,7.600478,5.7459183,hydrogen product electrolysi plant green fuel
reg,8,4.808451,6.147229,baltic sea baltic energi baltic energi island
reg,14,4.499595,1.655579,social democraci social democrat ann thoma
reg,1,7.5776687,2.357989,high voltag voltag station bornholm museum
reg,1,7.6000886,2.4294887,high voltag voltag station bornholm museum
reg,8,5.181824,5.855304,baltic sea baltic energi baltic energi island
reg,0,4.89577,3.3529449,citizen associ transform station associ energiø
reg,0,5.0910892,5.4432874,citizen associ transform station associ energiø
reg,8,5.0903645,5.808072,baltic sea baltic energi baltic energi island
reg,0,4.984361,2.8225129,citizen associ transform station associ energiø
reg,5,7.433631,6.192074,hydrogen product electrolysi plant green fuel
reg,9,4.892929,2.3136766,jacob trøst citizen meet mayor jacob trøst
reg,6,7.76503,7.223764,offshor wind wind turbin wind farm
reg,5,7.459258,5.9749684,hydrogen product electrolysi plant green fuel
reg,6,6.8531103,6.8741384,offshor wind wind turbin wind farm
reg,6,6.146248,6.893982,offshor wind wind turbin wind farm
reg,6,7.4725065,7.1195974,offshor wind wind turbin wind farm
reg,9,5.9830956,2.1867335,jacob trøst citizen meet mayor jacob trøst
