Source,cluster,x,y,TF_IDF_topic_name
sci,3,7.206029,2.9695852,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,0,3.656004,6.7229915,"vsc hvdc, 0.0108, 3, 4 | ac grid, 0.0077, 18, 38 | reactive power, 0.0066, 19, 37 | hvdc system, 0.0064, 21, 38 | hvdc link, 0.0061, 13, 18"
sci,3,8.255163,3.9206402,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,0,4.6090846,5.5855756,"vsc hvdc, 0.0108, 3, 4 | ac grid, 0.0077, 18, 38 | reactive power, 0.0066, 19, 37 | hvdc system, 0.0064, 21, 38 | hvdc link, 0.0061, 13, 18"
sci,3,7.08957,3.1004767,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,3,6.4724746,3.4918487,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,3,7.664284,3.6529613,"energy islands, 0.0076, 40, 53 | sustainable energy, 0.0072, 13, 21 | energy systems, 0.0072, 21, 30 | energy sources, 0.0066, 31, 40 | energy demand, 0.0060, 10, 11"
sci,0,3.7237165,5.808685,"vsc hvdc, 0.0108, 3, 4 | ac grid, 0.0077, 18, 38 | reactive power, 0.0066, 19, 37 | hvdc system, 0.0064, 21, 38 | hvdc link, 0.0061, 13, 18"
sci,4,6.557507,6.2973723,"energy island, 0.0497, 19, 24 | energy islands, 0.0438, 5, 6 | wave energy, 0.0339, 5, 9 | rights reserved, 0.0309, 5, 5 | offshore grid, 0.0279, 13, 18"
sci,0,4.720669,6.086509,"vsc hvdc, 0.0108, 3, 4 | ac grid, 0.0077, 18, 38 | reactive power, 0.0066, 19, 37 | hvdc system, 0.0064, 21, 38 | hvdc link, 0.0061, 13, 18"
sci,0,4.555152,6.173135,"vsc hvdc, 0.0108, 3, 4 | ac grid, 0.0077, 18, 38 | reactive power, 0.0066, 19, 37 | hvdc system, 0.0064, 21, 38 | hvdc link, 0.0061, 13, 18"
