UMAP1,UMAP2,cluster
3.373199,11.163334,0
5.00689,11.168492,0
5.0420485,11.14255,0
4.2786713,12.494892,0
3.0615928,10.385941,0
2.1816583,10.086796,0
3.2506168,10.568671,0
3.1676626,10.550689,0
11.337668,11.54988,1
4.7225122,11.235675,0
4.2273335,10.799418,0
3.0901968,11.317134,0
4.8924007,11.180572,0
4.213197,11.897023,0
4.786843,10.829375,0
3.2325165,10.904223,0
5.0900517,11.256393,0
2.9426043,11.254011,0
3.3303435,10.98331,0
0.17448463,11.234889,0
1.5886277,13.438225,0
2.3001242,11.319161,0
1.089793,12.339843,0
1.0329273,11.99036,0
2.870172,11.778866,0
2.1532485,12.423973,0
1.8285635,13.544869,0
1.7486092,13.388224,0
3.8093197,12.432744,0
1.5844433,13.350208,0
2.2557445,13.403615,0
0.19160107,11.470292,0
1.2517271,12.052974,0
1.8975886,13.578529,0
2.171424,11.907009,0
4.892368,11.766076,0
2.6699235,12.675449,0
0.40975636,11.739036,0
0.34636536,12.112454,0
3.4390728,12.638078,0
1.899508,10.0902815,0
10.605676,13.68244,1
2.9709458,11.213264,0
0.18331455,10.2226,0
1.2941219,13.33844,0
1.2835743,13.338162,0
2.4078586,12.92756,0
1.2947255,13.282385,0
1.0811658,12.768629,0
0.5952362,12.199413,0
3.3719501,12.600444,0
2.9786303,11.868504,0
2.8226764,12.262519,0
2.893671,12.154418,0
1.8183845,11.366177,0
1.1084187,12.595984,0
3.23749,12.107069,0
0.5579287,12.162112,0
0.6925212,12.12765,0
2.217112,11.85978,0
2.0358427,11.830549,0
0.983043,12.076233,0
3.6418293,11.556988,0
4.175478,11.5393505,0
2.0671592,13.333788,0
1.0693,11.97435,0
1.283519,12.871743,0
4.0134244,12.822765,0
0.40040255,12.108532,0
1.1367329,12.250873,0
0.4016512,12.188051,0
2.1058073,11.602352,0
1.9217112,12.248121,0
1.955578,11.512118,0
1.9410969,10.274782,0
1.9328973,10.386727,0
3.049189,12.935983,0
2.691247,10.211977,0
0.7099543,12.102858,0
2.0066385,13.131398,0
2.201128,11.4518385,0
1.6694894,13.260385,0
2.9035056,11.801876,0
1.7643385,12.984158,0
1.7882174,11.219813,0
3.3571599,11.9632435,0
2.4069598,10.870519,0
0.13896337,10.805502,0
1.8544176,11.463557,0
3.4238796,11.795911,0
4.238355,12.568806,0
2.1545296,10.978976,0
1.5704769,12.470004,0
0.10501234,11.230092,0
3.808508,12.200749,0
1.7606049,12.158178,0
1.8616657,9.295541,0
2.0484834,10.29723,0
3.3982399,12.039803,0
1.8253548,10.648118,0
1.4537244,11.326707,0
2.0220206,11.930726,0
3.9669213,11.471719,0
3.8568988,11.352937,0
0.36565146,11.195228,0
2.3176143,9.648344,0
1.6243608,12.503349,0
3.039938,10.803339,0
2.109604,11.908783,0
1.9842099,9.240738,0
2.2927003,9.407313,0
2.2244892,9.249586,0
2.4886017,9.671215,0
1.8017659,13.04725,0
1.5318134,13.367422,0
1.4869243,12.771389,0
2.836078,11.68216,0
1.6009194,12.908607,0
2.1788108,9.253279,0
1.9885821,9.119794,0
1.1788379,10.835521,0
1.4127765,11.365267,0
2.1530313,9.161312,0
2.341579,11.83298,0
1.6886579,11.117182,0
1.5342727,10.710359,0
3.0357878,11.564253,0
1.5760151,11.497176,0
2.503576,10.592834,0
2.2389975,11.791615,0
2.7336817,12.391271,0
2.5356936,11.88951,0
1.9837406,9.795315,0
3.7494285,11.421271,0
3.830173,12.6272335,0
1.816017,10.783312,0
1.1800503,9.362381,0
2.2282257,9.640376,0
2.3994706,11.695193,0
2.3131626,12.690395,0
1.5101855,11.073421,0
2.0695024,9.264835,0
2.1281981,9.462328,0
2.6280146,12.517793,0
1.5386364,13.500755,0
2.80297,11.988024,0
2.458496,11.4231615,0
1.5028292,11.94588,0
