Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
sci,0,3.3852816,6.682188,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,2,5.266957,2.2533953,"north sea, 0.0083 | baltic seas, 0.0072 | wind farms, 0.0068 | north baltic, 0.0066 | north baltic seas, 0.0064",energy grid offshore wind north
sci,1,6.3510456,4.471078,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,3,6.3574815,2.7471752,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,9,6.314576,3.0038974,"renewable energy, 0.0446 | sustainable energy, 0.0289 | model developed, 0.0202 | energy system, 0.0185 | 2017 ieee, 0.0180",energy island renewable islands system
sci,5,7.999178,4.136114,"energy demand, 0.0223 | energy storage, 0.0143 | renewable energy, 0.0139 | energy consumption, 0.0132 | carbon emissions, 0.0124",energy system power renewable island
sci,5,7.848529,4.0760903,"energy demand, 0.0223 | energy storage, 0.0143 | renewable energy, 0.0139 | energy consumption, 0.0132 | carbon emissions, 0.0124",energy system power renewable island
sci,1,6.342409,4.682951,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,7,8.39127,3.76323,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,0,3.9478621,5.814064,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,7,8.578644,3.4320843,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,6,4.0377173,4.7975135,"offshore wind, 0.0159 | black start, 0.0157 | offshore power, 0.0137 | future offshore, 0.0128 | floating wind, 0.0092",offshore wind system grid transmission
sci,0,3.4756653,6.713589,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,3,4.7996516,1.2392029,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,7,8.388838,3.7114,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,11,6.151393,2.0405157,"renewable energy, 0.0351 | renewable energy island, 0.0284 | island samsø, 0.0219 | transmission grid, 0.0192 | science technology, 0.0163",energy island harmonic grid transmission
sci,3,4.4303303,2.092255,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
