Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,1,7.431156,3.9085293,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,4,9.569346,3.8465068,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,3,6.302295,3.673325,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,3,5.4540977,4.0539503,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,3,5.8745475,3.7411108,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,0,7.605236,2.7048333,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,0,7.3002214,2.1868033,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,3,6.798691,3.7968645,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,3,6.0935154,3.7647848,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,5,7.93494,2.650008,"wave power, 0.0182 | million kroner, 0.0097 | energy islands north, 0.0088 | islands north, 0.0086 | islands north sea, 0.0086",energy island islands wind electricity
pro,4,8.364815,2.8183856,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,0,7.322224,1.9086424,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,5,6.66313,2.400767,"wave power, 0.0182 | million kroner, 0.0097 | energy islands north, 0.0088 | islands north, 0.0086 | islands north sea, 0.0086",energy island islands wind electricity
pro,1,8.950976,4.350199,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,3,5.565869,3.8554893,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,1,9.1028385,4.5375657,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,2,6.534258,4.8654113,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,1,9.109002,5.526656,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,3,5.795112,4.1266227,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,4,9.2652445,3.0622554,"converter stations, 0.0101 | business case, 0.0100 | north sea, 0.0092 | market design, 0.0087 | energy islands, 0.0079",energy wind island islands sea
pro,0,7.1873746,1.972869,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,1,9.049759,4.490425,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
