Date,Title,Outlet,Content
2017,Local energy planning: Potential and perspectives of transport sector in sustainable energy action plans (SEAPs) of four small Italian islands,"Conference Proceedings - 2017 17th IEEE International Conference on Environment and Electrical Engineering and 2017 1st IEEE Industrial and Commercial Power Systems Europe, EEEIC / I and CPS Europe 2017","Nowadays , Sustainable Energy Action Plans ( SEAPs ) , represent great tool European municipalities regions plan , implement , monitor evaluate energy climate actions , contribute GHG reduction adaptation achievements . study analysed SEAPs four small Italian islands ( SIIs ) evaluate specific impact transportations taking account interactions local renewable energy . Assessing forecasts 2020 2030 scenarios , accordance European National laws force , aim paper assess integrated flowchart planning transport sector harmonize renewable energy sources ( RES ) local scale . © 2017 IEEE ."
2017,Understanding the Origin of Oscillatory Phenomena Observed between Wind Farms and HVdc Systems,IEEE Journal of Emerging and Selected Topics in Power Electronics,"Field experience shown subsynchronous oscillation harmonic resonance occur wind farms ( WFs ) high voltage dc ( HVdc ) systems . oscillations appear presence background harmonics due interaction wind energy conversion system 's ( WECS 's ) converter controller , HVdc converter controller , impact interconnection system impedance . However , root causes oscillations observed field entirely understood attributed various sources within components controllers interconnected system . paper explores possible causes oscillations investigating impact controllers components WF voltage-source converter ( VSC ) -based HVdc transmission system . order understand phenomenon , impedance WF HVdc offshore ac collection point analytically derived identify potential resonance points . impedance frequency responses WF HVdc converter indicate potential resonance low frequency . origin oscillations attributed propagation WECS resonance WECS full converter dc link interaction WECS HVdc system . source load impedance identified , impedance-based stability method adopted order determine stability . attempt improve oscillatory phenomena , active damping scheme implemented offshore HVdc rectifier . analysis time-domain simulation results respective harmonic spectra show implemented active damping effective eliminating oscillations observed interconnected system . Moreover , paper presents role ratio bandwidths interconnected areas , essential role root cause instability . general rule observed bandwidth HVdc rectifier ( source ) faster bandwidth load ( WFs inverter ) ; system operates stably . © 2013 IEEE ."
2014,Regional cooperation potentials in the European context: Survey and case study evidence from the Alpine Region,Economics of Energy and Environmental Policy,"energiewende ( `` Energy Turnaround '' ) Germany occur within context setting Europe 's internal electricity market . important initial step intensify regional cooperation neighboring countries . assert full benefits regional cooperation realized integrating Europe 's market segments , e.g. , real-time , day ahead , reserve markets backup capacities , coordinating grid expansion . paper examines three existing regional schemes , Pentalateral Forum , North Sea Countries Offshore Grid Initiative Baltic Energy Market Interconnection Plan . results two case studies Alpine Region comprising Austria , France , Germany , Italy Switzerland indicate cross-border cooperation possible even involving operation existing assets , necessary capital-intensive investments generation , renewables transmission major challenges , also potentially benefit participating countries . conclude expanded regional cooperation essential element Europe 's decarbonization initiative Germany 's energiewende . Copyright © 2014 IAEE . rights reserved ."
2014,Systematic retrofit design methodology for evaluation of integratedforest biorefinery strategies,J-FOR,"North American forest product companies considering transformation businesses integrating biorefineries existing pulp paper facilities . However , biorefinery strategies sustainable , imply level risk . assess biorefinery strategies , essential first identify potential integrations biorefinery candidates existing mill , evaluate cost synergies associated potential integrations . article describes approach retrofit design methodology . Considering unique characteristics Kraft pulp mill study , four biorefinery technologies identified potential transformation strategies . main cost savings found associated integration potential energy island wastewater treatment unit . results retrofit design used economic analysis study used analyze candidate biorefinery strategies terms sustainability performance ."
2015,Nordic hydropower flexibility and transmission expansion to support integration of North European wind power,Wind Energy,"expected increase wind power production North Baltic Seas substantially increase variability generation portfolio Northern Europe . Access available resources flexible power production necessary support power system variability . Since Nordic hydro-based power system provide resources , stronger interconnection continental Europe Nordic region seems beneficial . paper assesses challenges related wind power production variability , especially offshore , North Baltic Seas . Assessment transmission grid needed harvesting available wind production located far away load centres enable optimal use hydropower flexibility studied long-term cost-benefit analysis . Special focus devoted role offshore grid structure impact onshore grid constraints . analysis includes two interrelated simulation steps . first step focuses strategic use hydro energy day-ahead market , detailed modelling water courses hydro production Nordic region considered . , second step , flow-based simulations conducted detailed grid model whole European system . results show long-term strategies expansion offshore onshore grids must defined coordinated way ensure optimal developments . Copyright © 2014 John Wiley & Sons , Ltd . Copyright © 2014 John Wiley & Sons , Ltd ."
2014,Key parameters for the optimization of a Wind Farm: Impact on the offshore substation,CIGRE Session 45 - 45th International Conference on Large High Voltage Electric Systems 2014,"offshore wind farms increase size , locations move away shore deeper waters , resulting significant impact farm 's collection transmission grid . role grid - including MV equipment wind-turbine , inter-array grid , offshore substation ( ) , transmission cables- crucial whole farm steady transient conditions . Indeed , normal conditions , energy lost transmission wind turbine generators onshore substation significant , making mandatory optimize system order increase efficiency minimizing losses investment costs . Furthermore , fault conditions , since one incident offshore transmission grid create substantial loss generation company design optimized , balance reliability cost found . using onshore best practices proven equipment could considered suitable solution . paper , describe impacts different determining parameters optimization large wind farm electrical equipments offshore grid increasing inter-array voltage Medium Voltage ( MV ) High Voltage ( HV ) , special focus impact offshore substation . first part deal technical impact high voltage inter-array , focusing electrical equipment , losses , flexibility temporary overvoltages . One drawback MV level restrictive limit maximum voltage current , establishes limit regarding maximum power transmitted one Wind Farm 's internal circuits . power wind farm WT increasing , current rating increasing MV level power could conveyed cable using bigger cable sections increasing power losses . Increasing voltage level increase limit Wind Farm 's transmitted power , well reducing losses section cables . second part paper focus economical impact increasing voltage collection system ; scenarios described based 500 MW wind farm global picture , given regarding impacts voltage upgrade . © 2014 CIGRE . rights reserved ."
2014,Considerations in design of an offshore network,CIGRE Session 45 - 45th International Conference on Large High Voltage Electric Systems 2014,"vast potential offshore wind energy challenge connecting onshore AC systems possibly distant locations attracting interest offshore networks based HVDC technology using voltage source converters ( VSC ) . However , number visions expressed offshore grid , example , North Sea Europe might look , investors yet commit development offshore grids number design economic questions considered . paper discusses various engineering , regulatory economic issues associated offshore networks . particular , compares AC HVDC options simple connections , considers benefits coordinated offshore network development asks whether , offshore context , conventions secure operation customary design operation onshore transmission networks still relevant . argued , except loss infeed issue would caused onshore grid offshore DC grid connected , lack demand offshore means rules re-evaluated . leads discussion need DC circuit breakers reliable fault detection selection multi-terminal DC grid options control DC grid . Finally , number institutional issues described including role offshore transission owners sharing costs benefits offshore network . © 2014 CIGRE . rights reserved ."
2016,HVDC grids for transmission of electrical energy: Offshore grids and a future supergrid,HVDC Grids for Transmission of Electrical Energy: Offshore Grids and a Future Supergrid,"book discusses HVDC grids based multi-terminal voltage-source converters ( VSC ) , suitable connection offshore wind farms possible solution continent wide overlay grid . HVDC Grids : Offshore Supergrid Future begins introducing analyzing motivations energy policy drives developing offshore grids European Supergrid . HVDC transmission technology offshore equipment described second part book . third part book discusses HVDC grids developed integrated existing power system . fourth part book focuses HVDC grid integration , studies , different time domains electric power systems . book concludes discussing developments advanced control methods control devices enabling DC grids . Presents technology future offshore HVDC grid Explains offshore HVDC grids integrated existing power system Provides required models analyse different time domains power system studies : steady-state electromagnetic transients book intended power system engineers academics interest HVDC power systems , policy makers . book also provides solid background researchers working VSC-HVDC technologies , power electronic devices , offshore wind farm integration , DC grid protection . © 2016 Institute Electrical Electronics Engineers , Inc. rights reserved ."
2015,Resampling of data for offshore grid design based on kernel density estimation and genetic algorithm,Energy Procedia,"Offshore wind power major focus renewable energy development recent years , due better wind speeds wind energy available offshore . Since development ( construction grid connection ) offshore windfarms relatively expensive nature , careful planning design needed maximise benefits offshore wind projects . Optimisation one operational state sufficient grid design state power system stationary due fluctuations wind power power consumption . Eventually leads fluctuation base load power generations . account variability , optimisation done many operational states . Historical data power consumption load centre simulation data wind power used describe system states . Ideally , complete set data used describe power system states could also lead unsolvable case many unknowns involved calculation . keep number states low possible reduce computation time , selection smaller number samples represent whole data set carried . involves detail studies statistical distributions data . study therefore dedicated develop procedure selecting set statistically sound samples represent entire data set grid design purposes . © 2015 Authors . Published Elsevier Ltd ."
2014,Near zero energy islands in the Mediterranean: Supporting policies and local obstacles,Energy Policy,"Based recent technical-economical analysis island Pantelleria , policy feasibility study complete upgrading energy system Mediterranean Island carried . Pantelleria , situated Sicily Africa , owns large potential terms renewable energy resources , although obstacles turning Near Zero Energy system . Starting deep energy system audit , study proposes project near zero energy island , efficient transformation different existing natural energy resources electrical energy heat : solar , wind-based geothermal systems . way , island turned almost autonomous system . main difficulties connected implementation project identified national energy policies well specific local situation , characterized strong private monopole generation distribution electrical energy incentive supporting costs connected energy requalification island . hand , local administrations , involved project bottom-up European policies , cultural economic tools go implementation . © 2013 Elsevier Ltd ."
2014,Offshore wind delivery system technology assessments and performance evaluation,IEEE Power and Energy Society General Meeting,"connection DOE funded National Offshore Wind Energy Grid Interconnection Study ( NOWEGIS ) , assessments offshore wind delivery systems made different technologies ( HVAC vs. HVDC ) topologies ( radial vs. backbone vs. grid ) . , performance system impacts various options assessed steady-state perspective using power flow analyses normal system conditions contingency conditions . Observations made based findings general knowledge typical system operations . © 2014 IEEE ."
2015,Real-time studies on an improved modular stacked transmission and distribution system,"2015 IEEE 16th Workshop on Control and Modeling for Power Electronics, COMPEL 2015","Modular Stacked Direct Current ( MSDC ) transmission distribution system previously proposed feeding power distributed offshore oil compressor loads . paper presents improved MSDC system integrating several offshore renewable sources existing one . system cost effective enable bidirectional power flow onshore offshore grid . validate control philosophy improved MSDC system , real-time hardware-in-loop ( HIL ) simulations performed . , fault mitigation strategies several offshore converter side faults also presented . mitigation strategies tested using real-time simulations support reliability improved MSDC system . © 2015 IEEE ."
2017,Coordination and uncertainty in strategic network investment: Case on the North Seas Grid,Energy Economics,"notion developing transnational offshore grid North Sea attracted considerable attention past years due potential substantial capital savings increased scope cross-border trade , sparking European-wide policy debate incentivizing integrated transmission solutions . However , one important aspect far received limited attention benefits largely depend eventual deployment pattern electricity infrastructure currently characterized severe locational , sizing timing uncertainty . Given lack coordination generation network developments across Europe , real risk over-investment premature lock-in options exhibit limited adaptability . near future , important choices made concerning network topology amount investment . paper identify optimal , terms reduced cost , network investment ( including topology ) North Seas countries four deployment scenarios five distinct policy choices differing level offshore coordination international market integration . drawing comparisons study results , quantify net benefit enabling different types coordination scenario . Furthermore , showcase novel min–max regret optimization model identify minimum regret first-stage commitments could deployed near future order enhance strategic optionality , increase adaptability different future conditions hence reduce potential sub-optimality initial network design . view , put forward specific policy recommendations regarding adoption flexible anticipatory expansion framework identification attractive investment opportunities uncertainty . © 2017 Elsevier B.V ."
2014,Small-signal stability study of the Cigré DC grid test system with analysis of participation factors and parameter sensitivity of oscillatory modes,"Proceedings - 2014 Power Systems Computation Conference, PSCC 2014","paper presents detailed case study small-signal stability analysis Cigré DC-grid test system . presented investigations intended identifying critical modes interaction different parts electrical system controllers multi-terminal HVDC ( MTDC ) schemes . Oscillatory critical modes system investigated modal analysis , including participation factor analysis studies parameters sensitivity . potentially unstable modes investigated calculating participation factors system , identify influencing components . sensitivity eigenvalues control parameters also presented order reach improved control design MTDC sufficient damping enhanced dynamic response . Time-domain simulation results presented order verify transient performance control system . © 2014 Power Systems Computation Conference ."
2015,The power of the offshore (super-) grid in advancing marine regionalization,Ocean and Coastal Management,"Large scale transnational electricity grids facilitate balancing capacity across areas serve increase potential energy trading . Offshore grids ambitious notion supergrids beginning play significant part , especially Europe , realization improving security domestic energy supply expanding renewable energy production . , offshore ( super- ) grid development provides excellent example move towards marine regionalization . Moreover , limited spatial claims environmental impacts , marine electricity systems seem well-aligned rationale ecosystem-based management , heart European marine governance . outlining historical path envisioned outlook , article show offshore ( super- ) grid developments link marine regionalization related processes integration cooperation . argued scaling-up grids level regional seas unproblematic , faces obstacles depend persistent practical policy realities , may relevant expressions marine regionalization . © 2015 Elsevier Ltd ."
2014,Fixed-reference-frame-control: A novel robust control concept for grid side inverters in HVDC connected weak offshore grids,"2014 16th European Conference on Power Electronics and Applications, EPE-ECCE Europe 2014","Offshore wind energy plants built long distance public ac-grid connected HVDC-transmission . Hence offshore ac-island-grid results , HVDC station generates grid inverters wind power plants synchronize gird . power HVDC-station significant higher sum wind power plants , grid relative weak . could lead stability problems wind power plants grid side converters . © 2014 IEEE ."
2017,Planning 100% renewable energy islands: the case of the Caribbean island of Montserrat,CIRED - Open Access Proceedings Journal,"Diesel grid cost parity strong driver new renewable energy investments small islands developing states . case Montserrat Caribbean island analysed promising starting point develop replicable business model renewable energy utilisation Caribbean islands . joint project Government Montserrat , CARICOM , GIZ , Siemens AG found energy transition based photovoltaics , geothermal energy , energy storage systems attractive feasible path towards independency sustainability . © 2017 Institution Engineering Technology . rights reserved ."
2016,Frequency control during transients in offshore wind parks using battery energy storage systems,Journal of Marine Engineering and Technology,"main objective paper study implementation battery energy storage system ( BESS ) order improve dynamic behaviour offshore wind farm . Special attention given frequency excursions limitation sequence fault onshore grid . goal accomplished setting case study offshore wind farm connected onshore grid high voltage direct current line commutated converter ( HVDC-LCC ) link . Power System Simulator Engineering ( PSS/E ) simulation tool used implement whole system , including onshore offshore grids load flow dynamic models conventional generators , wind turbine generators ( WTGs ) , HVDC-LCC link BESS . BESS service , protective actions DC link lead uncontrolled frequency increase WTG , consequently tripped . BESS proves essential , allows offshore wind farm keep running maintaining frequency WTG acceptable levels therefore bringing entire system steady state operating point . © 2016 Institute Marine Engineering , Science & Technology ."
2017,Integrating Offshore Wind Power Via Fractional Frequency Transmission System,IEEE Transactions on Power Delivery,"novel solution integrating offshore wind power via fractional frequency transmission system ( FFTS ) introduced paper . basic idea FFTS improve technical economic performance ac transmission systems lowering grid frequency . FFTS especially suitable transmitting offshore wind power low frequency dramatically reduces charging current cable . addition , novel ac transmission system , FFTS performs much better HVDC constructing multiterminal ( MT ) grid . basic structures characteristics typical PMSG-based FFTS offshore wind power system MT-FFTS offshore grid described first . two offshore wind power cases used compare technical economical pros cons FFTS solution conventional solutions : HVAC HVDC . feasibility studies show performance FFTS offshore wind power system superior HVAC HVDC point-to-point ( PP ) multiterminal cases . uniform annual value PP-FFTS MT-FFTS 5.01 % 5.07 % cheaper PP-HVDC MT-HVDC . Therefore , FFTS promising solution offshore wind power integration building offshore grids . © 1986-2012 IEEE ."
2017,"Integrated North Sea grids: The costs, the benefits and their distribution between countries",Energy Policy,"large number offshore wind farms interconnectors expected constructed North Sea region coming decades , creating substantial opportunities deployment integrated network solutions . Creating interconnected offshore grids combine cross-border links connections offshore plants shore offers multiple economic environmental advantages Europe 's energy system . However , despite evidence integrated solutions beneficial traditional radial connection practices , projects deployed yet . paper quantify costs benefits integrated projects investigate extent cost-benefit sharing mechanism participating countries impede encourage development integrated projects . Three concrete interconnection case studies North Sea area analysed detail using national-level power system model . Model outputs used compute net benefit involved stakeholders different allocation schemes . Given asymmetric distribution costs benefits , recommend consistently apply Positive Net Benefit Differential mechanism starting point negotiations financial closure investments integrated offshore infrastructure . © 2016 Elsevier Ltd"
2016,The Harmonic Stability Problem in Offshore Wind Farms and Targeted Extension of the HVDC Link Control for its Mitigation,IFAC-PapersOnLine,"paper analyses effect HVDC controller harmonic stability offshore wind farm . Due HVDC filters/ transformers long cables wind farms natural resonances normally damped grid However , improperly designed controllers could excite resonances may result equipment damage . overcome problem , HVDC controller extended resonance suppression control based main ideas disturbance rejection technique . effectiveness proposed method analyzed different operational conditions network . also observed gains PI voltage controller play significant role harmonic stability offshore grid . © 2016"
2017,Self-Synchronization of Wind Farm in an MMC-Based HVDC System: A Stability Investigation,IEEE Transactions on Energy Conversion,"stability offshore wind power network connected high-voltage dc ( HVDC ) transmission line challenging since strong ac collection ( ACC ) bus might available , rotating machine connected bus . addition , synchronization unit ( phase-locked loop , PLL ) shown significant impact achieving satisfactory performance . tackle problem , paper proposed wind energy conversion system ( WECS ) controller ACC bus based synchronverter concept . synchronverter - inverter without PLL mimics synchronization mechanism inherent synchronous generator - introduced grid side WECS voltage-source converter ( VSC ) , wind farms connected ac network modular multilevel converter ( MMC ) -based HVDC system . order determine stability interconnected system , impedance-based stability method adopted . impedances wind power inverter MMC-HVDC converter analytically derived , analytical model verified comparing frequency responses obtained numerical simulation . detailed analysis results presented show benefits controller potential stability . results highlights synchronverter 's ability keeping better performance compared PLL-based dq-domain control point stability control integrating offshore wind farm MMC-based HVDC system , since impedance synchronverter reflects simple RL characteristic . hand , impedance PLL-based dq-domain control impedance inductive 2 kHz reflects composite characteristics 2 kHz different resonance points higher impedance magnitude low frequencies , making vulnerable voltage instability . Finally , time-domain simulation results presented validate theoretical analysis show self-synchronization impacts system performance . © 2017 IEEE ."
2016,Investigation on Fault-ride through Methods for VSC-HVDC Connected Offshore Wind Farms,Energy Procedia,"paper proposes novel fault-ride method offshore wind farms connected grid voltage source converter ( VSC ) -based high voltage direct current ( HVDC ) transmission . proposed method introduces controlled voltage drop offshore grid onshore fault occurs . idea behind achieve fast power reduction . Additionally proposed idea , every individual wind turbine detects voltage drop offshore grid almost simultaneously , controller decreases power set-point reduce power output wind turbine . effectiveness method verified numerical simulations performed PSCAD . © 2016 Authors ."
2015,Current source converter series tapping of a LCC-HVDC transmission system for integration of offshore wind power plants,IET Seminar Digest,"using HVDC two available commercial possibilities : Transmissions based Line Commutated Converters ( LCC ) based Voltage Source Converters ( VSC ) . VSC-HVDC suitable creating offshore grids . Despite fact , many LCC transmission systems operation across sea interconnecting mainlands islands . work addresses concept connecting wind power plants series LCC-HVDC transmission link already built means self-commutating Current Source Converter ( CSC ) . idea similar series tapping stations extract power form HVDC link . Nevertheless , CSC act rectifier inverter , power reversal available advantages VSC . coupling LCC stations CSC straightforward since topologies current source converters . control operation system normal conditions presented verified means simulations using MATLAB Simulink ."
2014,Analysis of north sea offshore wind power variability,Resources,"paper evaluates , 2030 scenario , impact onshore power systems terms variability power generated 81 GW offshore wind farms installed North Sea . Meso-scale reanalysis data used input computing hourly power production offshore wind farms , total production analyzed identify largest aggregated hourly power variations . Based publicly available information , simplified representation coastal power grid built countries bordering North Sea . Wind farms less 60 km shore connected radially mainland , rest connected hypothetical offshore HVDC ( High-Voltage Direct Current ) power grid , designed wind curtailment exceed 1 % production . Loads conventional power plants technology associated cost curves computed various national power systems , based 2030 projections . Using MATLAB-based MATPOWER toolbox , hourly optimal power flow regional hybrid AC/DC grid computed high , low medium years meso-scale database . largest net load variations evaluated per market area related extra load-following reserves may needed conventional generators . © 2014 authors ; licensee MDPI , Basel , Switzerland ."
2017,About the intelligent decision making system for dynamic electricity pricing on renewable microgrids,"Proceedings of the 12th International Scientific and Technical Conference on Computer Sciences and Information Technologies, CSIT 2017","new approach solving problem interaction main suppliers electricity private generating stations different nature island renewable energy micro-grids . approach used small power islands different natural conditions , stipulate use solar , wind energy sources order evaluate dynamic electricity pricing . © 2017 IEEE ."
2017,Assessing the impact of sampling and clustering techniques on offshore grid expansion planning,Energy Procedia,"Due ongoing large-scale connection non-dispatchable renewable energy sources power systems , short- long-term planning models challenged increasing level variability uncertainty . key contribution article explore assess implications different dimension reduction approaches long-term Transmission Expansion Planning ( TEP ) models . purpose study , selection sampling clustering techniques introduced compare resulting sample errors variety sampling sizes two different scaling options original data set . Based generated samples , range TEP model runs carried investigate impacts investment strategies market operation case study reflecting offshore grid expansion North Sea region 2030 scenario . evaluations show dimension reduction techniques performing well sampling clustering process necessarily produce reliable results large-scale TEP model . Future work include ways incorporating inter-temporal constraints better capture medium-term dynamics operational flexibility power system models . © 2017 Author ( ) ."
2017,AC offshore grid forming of a collection network for wind park by considering storage and hybrid power electronic systems,"Proceedings of 2016 International Conference on Electrical Sciences and Technologies in Maghreb, CISTEM 2016","New applications storage systems considered order contribute secure reliable operation AC offshore networks . management offshore AC collection network carefully studied various possibilities implement vital operating functions storage system developed . Issues control design storage system , impact analysis existent AC/DC offshore VSC power converter , assessment reliability , offered repowering facility case HVDC transmission fault participation control frequency , AC voltage reactive power compensation normal operation . © 2016 IEEE ."
2016,Reshaping Equilibria: Renewable Energy Mega-Projects and Energy Security,Low-Carbon Energy Security from a European Perspective,"Renewable energy mega-projects potential play significant role Europe 's transition low-carbon energy system . However , question remains whether expansive undertakings contribute energy security . Four mega-projects various stages planning , construction implementation examined chapter . Two projects Middle East North Africa ( MENA ) region , Noor DESERTEC , interpret idea interdependent energy systems contrasting ways , latter relying existing paradigm physical connectedness former building new bridges economic scientific cooperation . first interconnected offshore site , Kriegers Flak , North Seas Countries Offshore Grid Initiative ( NSCOGI ) exemplify different approaches balancing issues capacity system efficiency . resulting analysis shows reshaping equilibria low-carbon energy security help large-scale renewable energy projects leads much deeper questions prevailing energy policy paradigms . © 2016 Elsevier Ltd rights reserved .."
2015,Simulation study of renewable energy driven microgrid,Journal of Electrical Engineering,"Ever-increasing demand energy increasing concern manmade climatic changes called changes ways electricity generated distributed delivered.Micro grids peer-to-peer self-sustaining community Managing local generation , storage , loads , exclusively grid connectivity . MGs considered much ability create energy islands protect broad power outages . work highlights architecture MG driven renewable sources conceptual solution power outages . work begins modeling following studies like , Simulation study TNEB distribution network , Optimal placement Distributed sources ( DG 's ) , Remodeling solar PV Wind Turbine , MG integration reactive power compatibilities different DG 's Voltage regulation low voltage MG network . low voltage distribution system converted MGs , distributed generation sources ( DG 's ) , identified sensitivity analysis . modeled system tested feasibility several case studies ."
2017,Smart load management of water injection systems in offshore oil and gas platforms integrating wind power,IET Renewable Power Generation,"pollution coming use gas turbines ( GTs ) oil gas ( & G ) platforms requires greener solutions . One option use wind turbines ( WTs ) supply water injection systems ( WISs ) explore smart energy management make & G sector sustainable . effect WT integration , coordination local GTs , needs carefully analysed since intermittency wind jeopardise stability offshore grid . existence flexible loads ( FLEX ) interfaced variable speed drives ( VSD ) , WISs , help overcome challenges related wind intermittency rotor angle stability : suitable control non-essential loads implemented reduce effect wind power fluctuations , balance power generation consumption contribute optimal efficiency GT adjusting loading conditions . work investigates system dynamics short-term wind-induced power fluctuations , analysing evolution electrical variables , active power generator rotor speed , evaluate possible arise low frequency oscillations . impact adequate WIS load control increase system damping also explored algorithm system damping estimation proposed . © Institution Engineering Technology 2017 ."
2015,Oscillatory phenomena between wind farms and HVDC systems: The impact of control,"2015 IEEE 16th Workshop on Control and Modeling for Power Electronics, COMPEL 2015","Field experience shown sub-synchronous oscillation ( SSO ) harmonic resonance happen due interaction wind energy conversion system 's ( WECS ) converter controller , HVDC converter controller impact system impedance . paper investigates operation control WECS employing full-scale converter connected electrical network voltage source converter ( VSC ) -based high voltage dc ( HVDC ) transmission system . SSO harmonic resonance observed depending control implementation ac collection bus side HVDC converter . origin oscillations attributed propagation WECS 15 Hz resonance WECS full converter DC link interaction WECS dc link dynamics HVDC system . active damping scheme proposed improve system performance . active damping implemented offshore HVDC system installed purpose integrating two wind farms . analysis time domain simulation results spectral analysis presented show effective application proposed active damping . © 2015 IEEE ."
2017,A case study of a successful industrial microgrid operation,"2017 4th International Conference on Electrical and Electronics Engineering, ICEEE 2017",energy structure undergoing serious change connection renewables distribution level . One important changes ensure sustainability energy successful implementation microgrids . important microgrid structure recover severe system faults also microgrid structure maintain balance becoming energy island . decoupling balancing procedure sometimes critical load tolerate energy interruptions . paper successful microgrid structure refinery performed studies introduced . © 2017 IEEE .
2014,Life cycle assessment of an offshore grid interconnecting wind farms and customers across the North Sea,International Journal of Life Cycle Assessment,"Purpose : study aims contribute improved understanding environmental implications offshore power grid wind power development pathways . achieve aim , present two assessments . First , investigate impacts North Sea power grid enabling enhanced trade integration offshore wind power . Second , assess benefit North Sea grid wind power comparison scenarios power generation affected countries . Methods : grid scenario explored first assessment ambitious scenario Windspeed project result cost minimization analysis using transmission-expansion-planning model . develop hybrid life cycle inventory array cables ; high voltage , direct current ( HVDC ) links ; substations . functional unit 1 kWh electricity transmitted . second assessment compares two different energy scenarios Windspeed North Sea surrounding countries . , utilize life cycle inventory offshore grid components together inventory catalog power generation technologies Ecoinvent couple inventories grid configurations electricity mixes determined optimization procedure Windspeed . Results discussion : Developing , operating , dismantling grid cause emissions 2.5 g CO2-Eq per kWh electricity transmission 36 Mt CO2-Eq total . HVDC cables major cause environmental damage , causing , example , half total climate change effects . next important contributors substations array cabling used offshore wind parks . Toxicity eutrophication effects stem largely leakages disposed copper iron mine tailings overburden . Results comparison two scenarios demonstrate substantial environmental benefit North Sea grid extension associated wind power development compared alternative generation electricity fossil fuels . Offshore grid wind power , however , entail increased use metals , hence , higher metal depletion indicator . Conclusions : present first life cycle assessment large offshore power grid , using results energy planning model input . HVDC links major cause environmental damage . differences across impact categories respect components types activities responsible damage . North Sea grid wind power environmentally beneficial array criteria displacing fossil fuels , cause substantial metal use . © 2014 Springer-Verlag Berlin Heidelberg ."
2015,Offshore grids for renewables: Do we need a particular regulatory framework?,Economics of Energy and Environmental Policy,"Onshore , generators connected transmission grid TSOs . regulatory model could simply extended offshore ( i.e . Germany ) , connection offshore wind farms shore also opportunity test alternatives , i.e . third party model ( i.e . UK ) generator model ( i.e . Sweden ) . paper , argue third party generator models indeed better suited support evolution towards larger scale offshore wind farms increasingly developed farther sea , TSO model better suited support evolution towards cross-border offshore grid projects . words , important trade-off needs made none existing regulatory models fulfill expectations current context Europe . , trade-off made regional EU level different national regulatory frameworks incompatible applied cross-border offshore grid project . Copyright © 2015 IAEE . rights reserved ."
2017,DC protection of a multi-terminal HVDC network featuring offshore wind farms,Energy Procedia,"protection scheme DC faults designed multi-terminal HVDC network used transfer energy three large offshore wind farms shore . system uses open access models created EU-funded BEST-PATHS project , including manufacturer-supplied wind farm model . Tripping conditions DC circuit breakers found simulation , along current limiting inductor sizes , based use hybrid circuit breaker . Simulations faults HVDC network show ability protection scheme isolate fault , converter stations wind turbines able ride-through fault without tripping based 5ms switching time circuit breakers Longer switching times cause significant rises offshore grid frequency , could cause turbines trip ."
2014,Coordinated control of wind farm and VSC-HVDC system using capacitor energy and kinetic energy to improve inertia level of power systems,International Journal of Electrical Power and Energy Systems,"large-scale offshore wind power integration main grids long distance , VSC-HVDC transmission typical way . However , asynchronous characteristic HVDC link leads frequency decouple offshore grid main grid , i.e. , offshore grid little inertia support main grid . high level penetration wind energy makes main grid `` inertia-less '' system impairs overall stability system . paper proposes new coordinated control strategy uses electrical energy stored DC capacitors kinetic energy stored wind turbine rotors emulate inertia synchronous generators . control strategy , DC link capacitors release absorb energy following droop DC voltage control grid side VSC ( GSVSC ) , wind farm VSC ( WFVSC ) changes output frequency according DC voltage . Thus , artificial coupling frequencies two-side AC systems obtained without remote communication . According WFVSC 's output frequency , wind turbine power controller alters power reference , wind turbine speed changes . Thus , kinetic energy stored wind turbine rotors absorbed released . result , wind turbine utilized keep main grid frequency stable . Based doubly fed induction generator ( DFIG ) wind turbine , paper analyzes influence different additional power controllers different control parameters proposed control strategy inertia time constant . Within permissible range DC voltage variation , proposed control strategy provide wide range inertia time constant , improves overall stability main grid system . Simulation results three operation conditions , i.e. , sudden load changes , variation wind speed , AC system faults , validated effectiveness proposed coordinated control strategy . © 2014 Elsevier Ltd. rights reserved ."
2014,Regulating offshore energy sources in the North Sea - Reinventing the wheel or a need for more coordination?,International Journal of Marine and Coastal Law,"article examine legal frameworks developing oil , gas wind energy North Sea . discuss whether parallels seen lessons learned different sectors suggest experience offshore petroleum sector could used improve evolving legal regimes offshore wind energy . purpose , first examine legal basis offshore activities international law sea . Subsequently , discuss regulation oil gas exploitation regulation offshore wind energy . focus particular way energy sources transported shore via pipelines cables . consider whether comparable decisions made establishing legal regime offshore wind whether lessons could still learned . particularly relevant future production offshore wind energy production petroleum need coordinated , sizable amounts offshore wind energy integrated ( offshore ) transmission grid . © 2014 Koninklijke Brill NV , Leiden ."
